0_1_79_39_0,1_1_83_40_0,2_0_83_41_0,3_0_119_59_0,4_1_89_44_0,5_0_99_49_0,6_1_101_50_0,7_0_116_57_0,8_1_103_51_0,9_0_86_43_0,10_0_104_52_0,11_1_104_52_0,12_1_92_46_0,13_1_81_40_0,14_0_118_55_0,15_0_119_58_0,16_0_103_50_1,17_1_104_52_0,18_1_97_48_0,19_0_117_58_0,20_0_105_52_0,21_0_93_46_0,22_0_88_44_0,23_1_89_44_0,24_1_100_50_0,25_1_96_46_0,26_1_85_41_0,27_0_95_47_0,28_1_80_40_0,29_1_98_49_0,30_1_115_57_0,31_0_104_52_0,32_1_109_53_0,33_0_99_46_1,34_1_99_48_0,35_0_94_43_4,36_0_119_59_0,37_0_112_56_0,38_1_81_36_1,39_0_89_44_0,
0_0_104_52_0,1_1_113_56_0,2_1_84_41_0,3_0_89_44_0,4_0_109_54_0,5_1_116_51_0,6_1_115_51_1,7_0_107_40_5,8_0_81_40_1,9_1_102_51_0,10_0_88_43_1,11_1_120_58_0,12_0_120_60_0,13_1_98_49_0,14_1_113_56_0,15_1_97_48_0,16_0_118_57_3,17_0_94_46_2,18_0_109_52_1,19_1_85_21_1,20_1_93_46_0,21_0_84_42_0,22_0_106_53_0,23_1_109_47_3,24_0_115_57_1,25_0_106_53_0,26_0_89_44_0,27_0_84_42_0,28_1_118_59_0,29_1_110_54_0,30_1_120_59_0,31_1_98_49_0,32_0_90_45_0,33_1_101_50_0,34_1_94_47_0,35_0_94_46_0,36_1_116_58_0,37_0_89_44_0,38_0_107_53_0,39_1_100_48_0,
0_1_89_42_0,1_1_94_47_0,2_1_88_44_0,3_0_89_44_0,4_0_98_49_0,5_1_105_52_0,6_0_113_47_6,7_0_110_54_1,8_0_120_59_0,9_1_92_46_0,10_1_102_51_0,11_1_98_49_0,12_1_90_44_0,13_0_117_58_0,14_0_98_49_0,15_1_103_51_0,16_1_114_56_0,17_1_85_39_0,18_0_94_47_0,19_0_90_45_0,20_1_88_39_0,21_0_89_44_0,22_0_101_50_0,23_1_86_43_0,24_1_86_43_0,25_0_86_43_0,26_0_95_46_0,27_0_84_40_0,28_0_81_40_0,29_0_116_58_0,30_1_83_41_0,31_0_108_50_0,32_1_95_47_0,33_0_80_40_0,34_1_116_58_0,35_1_98_49_0,36_0_80_40_0,37_0_86_43_0,38_1_109_52_0,39_1_91_45_0,
0_0_109_55_0,1_1_115_57_0,2_0_81_40_0,3_1_105_52_0,4_1_95_47_0,5_0_89_43_0,6_0_102_49_0,7_1_95_46_0,8_0_116_58_0,9_1_98_49_0,10_0_119_58_4,11_0_113_56_0,12_0_113_56_0,13_1_89_44_0,14_0_109_46_4,15_0_109_54_0,16_0_116_58_0,17_1_92_45_0,18_1_88_44_0,19_0_82_41_0,20_0_105_52_0,21_1_86_43_0,22_0_116_58_2,23_1_84_42_0,24_0_115_57_0,25_0_119_59_0,26_0_106_46_1,27_1_113_56_0,28_1_116_54_1,29_1_88_44_0,30_1_83_41_1,31_1_110_54_0,32_1_117_58_0,33_1_98_48_0,34_1_95_47_0,35_0_99_49_0,36_0_86_37_1,37_1_81_40_0,38_1_81_40_0,39_0_99_45_4,
0_1_94_46_0,1_0_89_31_6,2_0_84_41_0,3_1_97_46_0,4_1_80_40_0,5_0_96_47_0,6_1_85_42_0,7_0_110_54_0,8_0_100_50_0,9_1_87_43_2,10_0_97_46_1,11_0_117_58_0,12_0_109_54_1,13_1_103_51_0,14_1_95_47_0,15_1_114_57_0,16_1_84_41_0,17_0_112_55_0,18_0_119_59_0,19_0_94_46_0,20_1_83_41_0,21_1_87_43_0,22_1_107_27_2,23_0_112_55_3,24_1_95_47_0,25_1_92_46_0,26_0_96_48_0,27_0_90_45_0,28_1_119_58_2,29_0_101_50_0,30_1_91_45_1,31_0_92_46_0,32_1_81_39_1,33_1_111_55_0,34_0_97_48_0,35_1_109_54_0,36_0_112_54_0,37_0_113_56_0,38_1_120_60_0,39_0_82_40_1,
0_0_86_43_0,1_0_109_54_0,2_0_105_47_2,3_1_103_51_0,4_1_89_43_0,5_0_101_50_0,6_1_105_52_0,7_0_108_54_0,8_1_106_53_0,9_1_108_53_0,10_1_116_58_0,11_1_95_47_0,12_0_93_46_0,13_0_93_46_1,14_0_85_42_0,15_0_102_48_1,16_0_103_51_0,17_0_92_46_0,18_0_110_55_0,19_1_108_54_0,20_1_118_55_0,21_0_82_41_0,22_1_89_44_0,23_1_86_38_0,24_1_107_53_1,25_1_120_60_0,26_1_111_54_0,27_1_84_42_0,28_0_114_54_0,29_0_109_54_0,30_0_87_43_0,31_1_97_46_4,32_1_88_43_0,33_0_120_59_0,34_1_106_48_0,35_1_118_55_0,36_0_101_50_1,37_1_100_48_0,38_0_117_58_0,39_0_102_51_0,
0_1_116_57_0,1_0_119_57_0,2_0_83_41_2,3_1_80_40_0,4_0_107_53_0,5_0_91_44_0,6_1_95_47_0,7_0_90_45_0,8_1_95_47_0,9_1_94_44_0,10_1_94_45_1,11_0_89_44_1,12_0_112_56_0,13_1_99_49_0,14_1_100_50_0,15_1_97_37_2,16_1_117_58_0,17_1_109_54_0,18_0_115_57_0,19_1_111_55_0,20_0_108_54_0,21_0_85_42_0,22_1_117_58_0,23_0_119_59_0,24_1_105_52_0,25_0_90_44_0,26_1_92_46_0,27_0_104_52_0,28_0_116_58_0,29_1_107_53_0,30_1_90_45_0,31_0_119_59_0,32_1_87_43_0,33_1_115_56_0,34_0_90_45_0,35_0_107_50_0,36_0_99_49_0,37_1_83_40_0,38_0_113_55_0,39_0_120_59_0,
0_1_118_59_0,1_1_94_47_0,2_0_81_40_0,3_0_104_52_0,4_0_105_52_0,5_0_101_50_1,6_1_119_58_0,7_1_118_54_0,8_0_84_42_0,9_0_84_42_0,10_1_103_51_0,11_0_100_44_2,12_1_91_37_1,13_0_83_41_0,14_1_94_47_0,15_1_105_52_0,16_0_85_42_0,17_0_100_50_0,18_0_105_51_2,19_0_116_57_0,20_1_118_59_0,21_1_87_40_0,22_0_104_52_0,23_1_87_43_0,24_1_97_48_0,25_0_83_41_0,26_0_112_55_0,27_1_91_45_0,28_1_98_48_0,29_0_116_58_0,30_1_115_57_0,31_1_88_41_0,32_1_119_59_0,33_0_104_52_0,34_0_89_43_2,35_0_98_49_0,36_0_101_50_0,37_1_86_40_0,38_1_87_43_0,39_1_97_48_0,
0_0_100_45_0,1_1_93_46_0,2_1_103_51_0,3_0_91_45_0,4_1_97_48_0,5_1_103_51_0,6_1_99_49_0,7_0_85_42_0,8_0_109_53_0,9_0_80_40_0,10_1_91_45_0,11_1_94_47_0,12_1_109_54_0,13_1_83_41_0,14_0_97_48_0,15_1_86_42_1,16_1_93_46_0,17_1_110_54_0,18_0_98_49_0,19_1_82_40_0,20_0_120_60_0,21_0_117_56_0,22_0_83_41_0,23_0_83_37_3,24_0_105_52_0,25_0_110_55_0,26_0_106_53_0,27_1_83_41_0,28_0_92_46_0,29_1_109_52_0,30_0_98_49_0,31_0_93_45_1,32_0_111_55_0,33_1_86_43_0,34_1_113_56_0,35_1_86_42_0,36_1_95_45_0,37_1_115_56_0,38_0_93_46_0,39_0_103_51_0,
0_1_117_38_5,1_0_112_55_0,2_1_95_46_0,3_0_94_47_0,4_0_89_44_0,5_1_85_42_0,6_1_90_45_0,7_1_113_56_0,8_0_115_57_0,9_1_80_40_0,10_0_112_56_0,11_0_113_56_0,12_0_87_43_0,13_1_80_40_0,14_0_85_42_0,15_0_112_56_0,16_0_115_55_1,17_0_113_55_2,18_0_109_52_4,19_1_111_46_0,20_0_87_43_0,21_0_106_53_0,22_1_87_43_0,23_1_120_56_4,24_1_91_45_0,25_1_87_39_1,26_0_82_40_0,27_1_103_51_0,28_1_105_52_0,29_1_82_41_0,30_1_84_37_1,31_1_109_50_0,32_0_99_49_0,33_1_107_53_0,34_1_90_45_0,35_0_87_43_0,36_0_90_45_0,37_0_120_60_0,38_0_107_52_0,39_1_109_54_0,
