0_1_79_71_0,1_1_83_74_0,2_0_83_74_0,3_0_119_107_0,4_1_89_80_0,5_0_99_89_0,6_1_101_90_0,7_0_116_104_0,8_1_103_92_0,9_0_86_77_0,10_0_104_93_0,11_1_104_93_0,12_1_92_82_0,13_1_81_72_0,14_0_118_84_13,15_0_119_107_0,16_0_103_91_0,17_1_104_93_0,18_1_97_84_0,19_0_117_105_0,20_0_105_94_0,21_0_93_83_0,22_0_88_79_0,23_1_89_80_0,24_1_100_90_0,25_1_96_86_0,26_1_85_76_0,27_0_95_85_0,28_1_80_72_0,29_1_98_88_0,30_1_115_103_0,31_0_104_92_0,32_1_109_98_0,33_0_99_89_0,34_1_99_89_0,35_0_94_84_0,36_0_119_107_0,37_0_112_100_0,38_1_81_70_0,39_0_89_80_0,
0_1_104_93_0,1_1_113_101_0,2_1_84_75_0,3_1_89_79_0,4_1_109_98_0,5_1_116_104_0,6_0_115_103_0,7_0_107_96_0,8_1_81_72_0,9_1_102_91_0,10_1_88_76_0,11_1_120_108_0,12_0_120_108_0,13_1_98_88_2,14_0_113_101_0,15_1_97_87_0,16_0_118_106_0,17_1_94_84_0,18_0_109_91_1,19_0_85_76_0,20_0_93_83_0,21_0_84_75_3,22_0_106_95_0,23_0_109_98_0,24_1_115_103_6,25_0_106_95_0,26_1_89_80_0,27_1_84_75_0,28_0_118_106_0,29_0_110_99_0,30_1_120_108_0,31_0_98_88_0,32_0_90_81_0,33_1_101_90_0,34_0_94_84_0,35_1_94_84_0,36_1_116_103_3,37_0_89_80_0,38_0_107_96_0,39_0_100_90_0,
0_0_89_79_4,1_0_94_84_0,2_0_88_79_0,3_1_89_80_0,4_1_98_87_0,5_1_105_86_2,6_1_113_101_0,7_0_110_99_0,8_0_120_108_0,9_0_92_82_0,10_0_102_91_0,11_1_98_88_0,12_0_90_81_0,13_1_117_105_0,14_1_98_88_0,15_1_103_92_0,16_1_114_102_0,17_0_85_76_0,18_0_94_79_9,19_1_90_81_0,20_0_88_79_0,21_1_89_80_0,22_0_101_90_0,23_0_86_77_0,24_1_86_77_0,25_1_86_77_0,26_0_95_85_0,27_1_84_75_0,28_0_81_72_0,29_0_116_104_0,30_1_83_74_0,31_0_108_97_0,32_1_95_85_0,33_0_80_72_0,34_1_116_104_0,35_0_98_88_0,36_0_80_72_0,37_1_86_77_0,38_1_109_98_0,39_1_91_81_0,
0_1_109_98_0,1_1_115_103_3,2_0_81_72_0,3_0_105_94_0,4_0_95_85_0,5_0_89_80_0,6_1_102_85_9,7_1_95_84_0,8_1_116_104_0,9_1_98_88_0,10_1_119_107_0,11_1_113_101_0,12_1_113_101_0,13_1_89_80_0,14_0_109_98_0,15_0_109_98_0,16_0_116_103_4,17_0_92_82_0,18_1_88_79_0,19_1_82_73_0,20_0_105_94_0,21_0_86_77_0,22_1_116_103_0,23_0_84_68_2,24_0_115_103_0,25_1_119_107_0,26_0_106_95_0,27_1_113_101_0,28_0_116_104_0,29_1_88_79_0,30_1_83_74_0,31_0_110_99_0,32_1_117_105_0,33_0_98_88_0,34_1_95_85_0,35_1_99_89_0,36_0_86_76_0,37_0_81_72_0,38_0_81_72_0,39_0_99_89_0,
0_0_94_83_0,1_0_89_80_0,2_1_84_75_0,3_1_97_87_0,4_1_80_72_0,5_0_96_86_0,6_0_85_76_0,7_1_110_99_0,8_1_100_90_0,9_1_87_78_0,10_0_97_87_0,11_0_117_105_0,12_1_109_98_0,13_0_103_92_0,14_0_95_85_0,15_1_114_102_0,16_1_84_75_0,17_1_112_97_1,18_0_119_107_0,19_0_94_84_0,20_1_83_74_0,21_0_87_78_0,22_1_107_96_0,23_0_112_100_0,24_0_95_85_0,25_0_92_81_0,26_1_96_86_0,27_0_90_81_0,28_0_119_107_0,29_1_101_90_0,30_1_91_81_0,31_0_92_81_0,32_1_81_72_0,33_1_111_99_0,34_0_97_87_0,35_1_109_97_0,36_0_112_100_0,37_1_113_101_0,38_0_120_108_0,39_1_82_73_0,
0_1_86_78_0,1_1_109_98_0,2_1_105_94_0,3_0_103_92_0,4_0_89_80_0,5_0_101_90_0,6_1_105_94_0,7_0_108_97_0,8_0_106_95_0,9_0_108_96_0,10_0_116_104_0,11_1_95_85_0,12_1_93_83_0,13_0_93_83_0,14_0_85_76_0,15_1_102_91_0,16_0_103_91_2,17_1_92_82_0,18_0_110_99_0,19_0_108_96_0,20_1_118_106_0,21_1_82_73_0,22_0_89_80_0,23_1_86_77_0,24_1_107_95_0,25_0_120_108_0,26_1_111_99_0,27_1_84_75_0,28_1_114_100_0,29_0_109_98_0,30_0_87_73_0,31_1_97_87_0,32_1_88_79_0,33_1_120_108_0,34_0_106_95_0,35_1_118_106_0,36_1_101_90_0,37_0_100_90_0,38_0_117_105_0,39_0_102_90_6,
0_0_116_104_0,1_0_119_107_0,2_1_83_74_0,3_0_80_72_0,4_0_107_96_0,5_0_91_80_0,6_0_95_85_0,7_1_90_81_1,8_0_95_85_0,9_0_94_84_0,10_1_94_84_0,11_1_89_78_7,12_1_112_100_0,13_1_99_89_0,14_1_100_90_0,15_1_97_87_0,16_1_117_105_0,17_0_109_98_0,18_0_115_103_0,19_1_111_99_0,20_1_108_97_0,21_1_85_76_0,22_0_117_105_0,23_1_119_106_0,24_0_105_94_0,25_1_90_81_0,26_0_92_82_0,27_1_104_93_0,28_0_116_103_0,29_1_107_96_0,30_0_90_81_0,31_1_119_107_0,32_0_87_78_0,33_0_115_103_0,34_0_90_81_0,35_1_107_96_0,36_0_99_89_0,37_1_83_74_0,38_1_113_101_0,39_0_120_108_0,
0_0_118_106_0,1_0_94_84_0,2_0_81_72_0,3_1_104_93_0,4_1_105_94_0,5_0_101_89_0,6_0_119_107_0,7_1_118_106_0,8_0_84_75_0,9_0_84_74_0,10_0_103_92_0,11_0_100_90_0,12_1_91_81_0,13_0_83_74_0,14_0_94_84_0,15_1_105_93_0,16_0_85_76_0,17_1_100_90_0,18_0_105_94_0,19_1_116_104_0,20_1_118_106_0,21_1_87_78_0,22_0_104_93_0,23_0_87_78_0,24_0_97_87_0,25_1_83_74_0,26_1_112_100_0,27_1_91_81_0,28_1_98_88_0,29_1_116_104_0,30_1_115_103_0,31_0_88_75_0,32_0_119_106_2,33_1_104_93_0,34_1_89_80_0,35_0_98_88_0,36_1_101_90_0,37_1_86_77_0,38_1_87_78_0,39_0_97_87_0,
0_0_100_89_0,1_0_93_81_0,2_1_103_92_0,3_0_91_81_0,4_1_97_85_1,5_1_103_73_5,6_1_99_88_0,7_1_85_76_0,8_0_109_98_0,9_1_80_72_0,10_0_91_81_0,11_1_94_83_0,12_0_109_98_0,13_0_83_74_0,14_0_97_87_0,15_0_86_77_0,16_0_93_75_3,17_1_110_99_0,18_0_98_67_8,19_0_82_68_1,20_1_120_108_0,21_0_117_105_0,22_1_83_74_0,23_0_83_74_0,24_0_105_94_0,25_1_110_99_0,26_1_106_95_0,27_1_83_74_0,28_0_92_82_0,29_0_109_98_0,30_0_98_88_0,31_1_93_83_0,32_1_111_99_0,33_1_86_77_0,34_1_113_90_3,35_0_86_77_0,36_0_95_85_0,37_1_115_103_0,38_1_93_83_0,39_1_103_92_0,
0_1_117_105_0,1_0_112_100_0,2_0_95_85_2,3_1_94_84_0,4_0_89_80_0,5_1_85_76_0,6_1_90_81_0,7_0_113_101_0,8_1_115_103_0,9_1_80_71_1,10_1_112_100_0,11_0_113_101_0,12_0_87_74_3,13_0_80_72_0,14_1_85_76_0,15_0_112_100_0,16_0_115_103_0,17_0_113_101_0,18_0_109_87_8,19_1_111_99_0,20_0_87_78_0,21_1_106_95_0,22_0_87_77_2,23_1_120_108_0,24_1_91_81_1,25_0_87_68_6,26_0_82_73_0,27_1_103_91_2,28_1_105_94_0,29_0_82_73_0,30_1_84_74_0,31_0_109_98_0,32_0_99_89_0,33_1_107_96_0,34_0_90_72_4,35_1_87_78_1,36_0_90_81_0,37_1_120_108_0,38_1_107_95_0,39_1_109_96_1,
