0_0_479_399_0,1_1_483_400_0,2_1_483_400_3,3_0_519_400_28,4_1_489_400_1,5_0_499_400_6,6_0_501_400_36,7_1_516_400_0,8_1_503_400_3,9_0_486_400_12,
0_0_491_400_26,1_1_517_400_0,2_1_490_400_0,3_0_487_400_32,4_0_499_400_0,5_1_503_400_5,6_1_480_400_1,7_0_498_400_20,8_0_516_400_29,9_1_514_400_0,
0_0_499_399_0,1_1_489_400_0,2_1_483_400_0,3_1_494_400_2,4_0_519_400_33,5_0_514_400_1,6_0_507_400_9,7_1_483_400_0,8_1_503_400_0,9_0_499_400_17,
0_1_495_399_0,1_1_498_400_2,2_1_483_400_3,3_0_493_400_1,4_1_510_399_6,5_0_481_400_13,6_1_502_373_8,7_0_508_400_25,8_0_503_400_7,9_0_485_400_0,
0_0_512_399_21,1_1_512_400_0,2_1_512_400_2,3_1_500_400_3,4_0_502_400_36,5_0_520_400_5,6_0_488_400_6,7_0_486_400_10,8_1_488_400_3,9_1_508_400_0,
0_0_492_399_19,1_1_496_400_2,2_1_513_400_0,3_1_508_400_3,4_1_510_400_0,5_0_504_400_23,6_0_518_400_1,7_1_487_400_0,8_0_495_400_0,9_0_515_400_38,
0_0_480_399_12,1_1_482_400_0,2_1_496_400_0,3_0_512_400_22,4_0_509_400_9,5_0_515_400_32,6_1_486_400_1,7_0_501_400_12,8_1_505_400_2,9_1_482_400_0,
0_1_499_399_5,1_1_519_400_0,2_0_497_400_18,3_0_500_400_3,4_0_485_400_11,5_0_495_400_27,6_1_516_400_2,7_0_498_400_22,8_1_501_400_0,9_1_498_400_1,
0_1_495_399_0,1_0_497_400_9,2_0_498_400_0,3_1_510_400_0,4_1_507_400_3,5_0_493_400_0,6_0_484_400_0,7_1_513_400_4,8_0_514_400_29,9_1_519_400_0,
0_1_500_400_0,1_1_508_400_0,2_0_500_400_0,3_0_518_400_12,4_0_510_400_1,5_1_518_400_1,6_1_483_400_0,7_0_520_400_21,8_1_491_400_0,9_0_482_400_16,
0_1_507_399_0,1_1_491_333_4,2_0_494_400_5,3_1_488_400_3,4_1_490_400_0,5_1_489_400_0,6_0_506_400_4,7_0_503_400_4,8_0_506_400_20,9_0_491_400_10,
0_0_506_399_0,1_0_510_400_12,2_1_498_400_1,3_1_491_400_4,4_1_510_400_4,5_0_494_400_22,6_0_483_400_27,7_1_498_400_0,8_0_495_400_32,9_1_497_400_0,
0_0_498_399_0,1_0_510_400_0,2_1_485_400_1,3_0_487_400_19,4_1_491_400_0,5_1_500_400_0,6_0_494_400_21,7_1_480_400_1,8_1_488_400_0,9_0_505_400_4,
0_1_484_399_3,1_0_511_400_27,2_0_503_400_2,3_1_497_400_2,4_0_516_400_10,5_0_514_400_26,6_1_488_400_0,7_0_515_400_22,8_1_486_400_0,9_1_516_400_0,
0_0_497_399_0,1_0_498_400_27,2_1_513_400_0,3_1_490_400_4,4_0_501_400_2,5_1_483_400_0,6_1_515_400_1,7_0_489_399_25,8_0_481_400_19,9_1_517_400_1,
0_0_511_399_13,1_1_481_400_4,2_0_498_400_0,3_1_485_400_1,4_0_518_400_43,5_1_509_400_0,6_0_492_400_19,7_1_488_400_4,8_0_489_400_0,9_1_487_400_3,
0_1_496_399_0,1_1_501_400_0,2_0_514_400_19,3_0_519_400_0,4_1_507_400_1,5_1_501_400_0,6_1_500_400_0,7_0_500_400_8,8_0_481_400_0,9_0_488_400_0,
0_0_479_399_0,1_1_503_400_1,2_0_513_400_8,3_1_480_400_0,4_1_487_400_1,5_1_517_400_0,6_0_497_400_17,7_1_490_400_4,8_0_514_400_0,9_0_489_400_6,
0_0_515_399_0,1_0_492_400_19,2_1_481_400_0,3_0_508_400_12,4_1_512_400_0,5_0_518_400_26,6_1_510_400_7,7_1_485_400_0,8_0_505_400_0,9_1_499_400_0,
0_1_480_399_0,1_1_504_400_0,2_0_485_400_2,3_1_508_400_0,4_0_506_400_19,5_0_516_400_2,6_0_498_400_8,7_0_488_400_0,8_1_481_400_0,9_1_504_400_0,
0_0_512_399_19,1_0_481_400_16,2_0_498_400_32,3_0_490_400_0,4_1_496_400_2,5_1_494_400_1,6_1_511_400_3,7_1_500_400_1,8_0_492_400_43,9_1_492_400_0,
0_1_500_399_4,1_1_513_400_5,2_1_483_400_1,3_0_491_400_0,4_0_482_400_5,5_0_495_400_2,6_1_484_400_0,7_0_516_400_25,8_0_487_400_23,9_1_494_400_0,
0_1_479_399_0,1_1_513_400_0,2_0_516_400_3,3_1_501_400_4,4_0_515_400_21,5_1_503_400_0,6_0_510_400_0,7_0_488_400_6,8_1_501_400_3,9_0_509_400_0,
0_1_512_399_2,1_1_509_400_0,2_0_503_400_26,3_0_481_400_8,4_1_511_400_0,5_0_518_400_19,6_0_501_400_9,7_1_520_400_2,8_0_496_400_8,9_1_507_400_0,
0_1_501_399_5,1_0_504_400_17,2_1_482_400_0,3_1_481_400_0,4_0_505_400_0,5_0_497_400_0,6_1_516_400_2,7_0_490_400_22,8_1_494_400_0,9_0_484_400_20,
0_0_496_399_34,1_0_502_400_0,2_1_497_400_1,3_0_489_400_6,4_1_489_400_5,5_0_493_400_0,6_0_484_400_0,7_1_481_400_0,8_1_481_400_1,9_1_483_400_1,
0_0_509_399_0,1_0_515_400_10,2_1_503_400_0,3_0_505_400_10,4_1_481_400_0,5_1_486_400_1,6_0_508_400_0,7_1_502_400_0,8_0_514_400_0,9_1_510_400_3,
