0_0_479_399_0,1_1_483_400_0,2_1_483_400_23,3_0_519_400_25,4_1_489_400_9,5_0_499_400_7,6_0_501_400_23,7_1_516_400_0,8_1_503_400_29,9_0_486_400_5,
0_1_491_379_37,1_0_517_400_28,2_0_490_400_0,3_1_487_393_46,4_1_499_400_3,5_0_503_400_0,6_0_480_400_0,7_0_498_400_7,8_1_516_400_26,9_1_514_400_11,
0_1_499_399_0,1_0_489_400_18,2_1_483_400_5,3_0_494_400_4,4_0_519_400_26,5_1_514_400_0,6_0_507_400_14,7_1_483_400_0,8_1_503_400_27,9_0_499_400_0,
0_1_495_400_12,1_1_498_400_3,2_1_483_400_3,3_0_493_400_23,4_1_510_400_18,5_0_481_400_9,6_1_502_400_0,7_0_508_400_12,8_0_503_400_0,9_0_485_400_4,
0_0_512_399_3,1_1_512_400_0,2_0_512_400_33,3_0_500_400_0,4_0_502_400_3,5_0_520_400_0,6_1_488_400_7,7_1_486_400_1,8_1_488_400_16,9_1_508_400_38,
0_1_492_399_2,1_0_496_400_19,2_1_513_400_12,3_1_508_400_11,4_0_510_400_0,5_0_504_400_3,6_1_518_400_2,7_0_487_400_0,8_1_495_400_24,9_0_515_400_0,
0_0_480_397_13,1_0_482_400_14,2_1_496_400_12,3_1_512_400_0,4_1_509_400_12,5_1_515_400_0,6_0_486_400_0,7_0_501_400_8,8_0_505_400_15,9_1_482_400_19,
0_0_499_399_37,1_0_519_400_12,2_1_497_400_1,3_1_500_400_0,4_0_485_400_0,5_0_495_400_0,6_1_516_400_25,7_0_498_400_10,8_1_501_400_0,9_1_498_400_2,
0_1_495_399_14,1_1_497_400_46,2_0_498_387_32,3_0_510_400_0,4_1_507_400_23,5_0_493_400_25,6_1_484_400_0,7_0_513_400_6,8_0_514_400_39,9_1_519_400_5,
0_0_500_399_0,1_0_508_400_6,2_1_500_400_31,3_1_518_400_8,4_1_510_400_0,5_0_518_400_0,6_0_483_400_16,7_0_520_400_12,8_1_491_400_0,9_1_482_400_10,
0_0_507_399_4,1_1_491_400_0,2_1_494_400_0,3_1_488_400_4,4_0_490_400_16,5_0_489_400_0,6_0_506_400_18,7_1_503_400_14,8_1_506_400_2,9_0_491_400_0,
0_1_506_399_24,1_0_510_400_1,2_0_498_400_0,3_0_491_400_7,4_1_510_400_20,5_0_494_400_0,6_1_483_400_22,7_1_498_400_29,8_1_495_373_22,9_0_497_400_3,
0_1_498_399_0,1_0_510_400_0,2_1_485_400_27,3_0_487_400_0,4_1_491_400_1,5_1_500_400_19,6_0_494_400_0,7_0_480_400_0,8_0_488_400_15,9_1_505_400_0,
0_0_484_399_0,1_1_511_400_17,2_1_503_400_0,3_0_497_400_36,4_0_516_400_7,5_1_514_400_0,6_1_488_400_14,7_1_515_400_0,8_0_486_400_22,9_0_516_400_0,
0_1_497_399_11,1_0_498_400_0,2_0_513_400_43,3_1_490_400_13,4_0_501_400_20,5_1_483_400_0,6_1_515_400_8,7_1_489_400_0,8_0_481_400_0,9_0_517_400_2,
0_0_511_399_25,1_1_481_400_0,2_0_498_400_23,3_1_485_400_11,4_0_518_400_28,5_1_509_400_8,6_0_492_400_0,7_1_488_400_17,8_1_489_400_17,9_0_487_400_4,
0_0_496_399_26,1_0_501_400_17,2_0_514_400_0,3_1_519_400_34,4_0_507_400_0,5_0_501_400_16,6_1_500_400_6,7_1_500_400_3,8_1_481_400_3,9_1_488_400_0,
0_0_479_399_0,1_1_503_400_0,2_1_513_400_13,3_0_480_400_3,4_0_487_400_3,5_1_517_400_0,6_1_497_400_2,7_0_490_400_4,8_1_514_400_2,9_0_489_400_40,
0_1_515_369_32,1_1_492_400_0,2_0_481_400_10,3_0_508_400_23,4_0_512_400_16,5_0_518_400_0,6_1_510_400_8,7_1_485_400_0,8_0_505_400_45,9_1_499_400_28,
0_0_480_400_2,1_1_504_400_4,2_1_485_400_1,3_1_508_400_12,4_0_506_400_14,5_1_516_400_0,6_1_498_400_0,7_0_488_400_18,8_0_481_400_0,9_0_504_400_14,
0_1_512_399_0,1_1_481_400_8,2_1_498_400_3,3_0_490_400_5,4_0_496_400_12,5_0_494_394_27,6_1_511_400_0,7_1_500_400_1,8_0_492_400_32,9_0_492_400_9,
0_1_500_399_27,1_1_513_400_0,2_0_483_400_0,3_0_491_400_0,4_0_482_400_3,5_1_495_400_21,6_1_484_400_0,7_1_516_400_5,8_0_487_400_0,9_0_494_400_0,
0_1_479_399_23,1_0_513_400_24,2_1_516_400_15,3_0_501_400_19,4_0_515_400_17,5_1_503_400_13,6_1_510_400_3,7_0_488_400_14,8_0_501_400_2,9_1_509_400_15,
0_0_512_399_12,1_1_509_400_1,2_1_503_400_0,3_0_481_400_25,4_1_511_400_0,5_1_518_400_14,6_0_501_400_19,7_1_520_400_3,8_0_496_400_10,9_0_507_400_0,
0_0_501_399_19,1_1_504_400_0,2_1_482_400_0,3_0_481_400_7,4_1_505_400_14,5_1_497_400_25,6_0_516_400_9,7_0_490_400_14,8_1_494_400_27,9_0_484_364_25,
0_1_496_399_9,1_0_502_400_14,2_1_497_400_24,3_0_489_400_11,4_1_489_400_0,5_1_493_400_12,6_1_484_400_1,7_0_481_400_9,8_0_481_399_23,9_0_483_400_0,
0_0_509_399_0,1_1_515_400_0,2_0_503_400_26,3_1_505_400_0,4_0_481_400_14,5_0_486_400_19,6_0_508_400_10,7_1_502_400_10,8_1_514_400_16,9_1_510_400_13,
0_1_516_400_31,1_0_510_400_0,2_1_492_400_0,3_1_482_400_9,4_0_509_400_12,5_0_499_400_13,6_0_510_400_27,7_1_498_400_9,8_0_494_400_0,9_1_497_387_28,
0_1_519_399_0,1_0_491_400_21,2_0_491_400_2,3_0_494_400_0,4_1_503_400_19,5_1_501_400_0,6_1_517_400_0,7_1_519_400_22,8_0_493_400_19,9_0_519_400_7,
0_0_517_399_19,1_1_488_400_9,2_1_498_400_15,3_0_498_400_2,4_1_507_400_20,5_1_484_400_9,6_0_513_400_7,7_0_510_400_6,8_1_515_400_7,9_0_495_400_14,
0_1_491_399_22,1_0_496_400_0,2_1_508_400_1,3_1_514_400_23,4_0_486_366_34,5_0_501_400_0,6_1_496_400_16,7_1_492_400_6,8_0_486_400_8,9_0_487_400_0,
0_0_482_395_34,1_0_500_400_7,2_1_515_388_37,3_0_519_400_6,4_0_498_400_0,5_1_492_400_5,6_1_517_400_4,7_1_506_400_22,8_1_509_400_6,9_0_494_400_0,
0_0_489_399_0,1_1_500_400_11,2_0_494_400_9,3_0_494_400_0,4_1_493_385_39,5_0_488_400_10,6_1_496_400_0,7_1_486_400_0,8_1_498_400_0,9_0_480_400_16,
0_0_481_399_10,1_1_504_400_22,2_1_498_400_23,3_1_503_400_24,4_0_509_400_25,5_0_492_400_0,6_0_502_400_21,7_1_510_400_13,8_0_488_400_12,9_1_502_400_2,
0_1_479_399_2,1_0_520_400_21,2_0_516_400_0,3_1_494_354_27,4_0_491_400_28,5_1_493_400_10,6_1_502_400_33,7_0_503_400_30,8_0_517_400_11,9_1_484_400_9,
0_1_506_399_0,1_1_504_400_7,2_0_482_400_0,3_0_505_400_7,4_0_519_400_19,5_1_491_400_0,6_1_483_400_24,7_0_506_400_1,8_1_481_400_20,9_0_499_400_24,
0_1_484_399_0,1_0_500_400_36,2_0_490_400_2,3_1_500_400_1,4_1_518_400_29,5_0_502_400_0,6_0_483_400_0,7_1_498_400_6,8_0_517_369_43,9_1_491_400_44,
0_1_513_399_4,1_0_497_400_17,2_1_496_366_36,3_1_505_400_7,4_1_502_400_41,5_0_519_400_23,6_0_500_400_18,7_0_514_400_24,8_0_516_400_0,9_1_504_400_2,
0_0_486_399_7,1_1_496_400_5,2_1_502_400_9,3_0_517_400_27,4_0_484_400_29,5_0_481_400_24,6_1_518_400_0,7_1_513_400_0,8_1_513_400_0,9_0_494_400_0,
0_0_501_399_0,1_1_497_400_25,2_0_511_400_36,3_1_505_400_0,4_1_505_400_17,5_1_510_400_36,6_0_513_400_21,7_0_493_400_0,8_0_518_400_17,9_1_484_400_0,
0_0_483_399_7,1_1_506_400_1,2_0_512_400_0,3_1_504_400_2,4_0_483_400_0,5_0_504_400_20,6_1_517_400_0,7_0_483_400_18,8_1_511_400_15,9_1_486_400_0,
0_0_505_399_0,1_1_517_400_21,2_0_513_400_0,3_1_500_400_26,4_0_520_400_29,5_0_480_400_0,6_1_486_400_24,7_0_491_400_17,8_1_510_400_20,9_1_508_400_0,
0_0_496_399_4,1_1_512_400_18,2_0_512_400_16,3_1_482_400_0,4_0_518_400_1,5_1_515_394_34,6_0_505_400_0,7_0_517_400_5,8_1_516_400_0,9_1_508_400_8,
0_0_515_399_16,1_0_507_400_30,2_0_482_400_14,3_0_494_400_0,4_1_486_400_22,5_1_516_400_18,6_0_498_400_3,7_1_493_400_0,8_1_492_400_0,9_1_503_400_28,
0_1_493_399_0,1_0_486_400_14,2_0_480_400_0,3_1_501_400_0,4_1_511_400_11,5_0_517_400_6,6_0_482_400_0,7_1_482_400_6,8_0_504_400_0,9_1_508_400_11,
0_0_519_399_14,1_0_505_400_4,2_1_519_400_0,3_0_490_400_0,4_1_480_400_17,5_1_515_400_2,6_0_485_400_15,7_0_514_400_0,8_1_510_400_16,9_1_504_400_22,
0_1_496_400_24,1_1_494_400_21,2_0_504_400_30,3_1_503_400_0,4_0_492_400_15,5_0_483_400_7,6_1_515_400_2,7_1_517_400_0,8_0_500_400_5,9_0_516_383_36,
0_0_491_399_0,1_1_513_400_5,2_1_500_400_26,3_1_518_400_16,4_0_504_400_28,5_1_489_400_0,6_0_483_400_0,7_1_519_400_0,8_0_501_400_27,9_0_488_400_5,
0_0_512_400_0,1_0_487_400_10,2_0_480_400_3,3_1_511_400_33,4_1_512_400_35,5_0_495_400_9,6_1_492_400_0,7_1_486_400_2,8_0_480_400_0,9_1_511_400_0,
0_1_492_399_6,1_1_513_400_13,2_1_504_400_10,3_0_483_400_0,4_0_493_400_9,5_0_518_400_43,6_1_487_400_0,7_0_483_400_0,8_1_481_400_15,9_0_510_388_37,
0_0_501_399_0,1_1_512_400_10,2_0_488_400_36,3_1_484_400_0,4_0_483_400_6,5_1_500_400_12,6_1_480_400_3,7_1_508_400_0,8_0_517_400_0,9_0_481_400_13,
0_0_487_400_0,1_0_489_400_13,2_1_498_400_11,3_0_499_400_13,4_1_511_400_0,5_1_505_400_0,6_0_497_400_0,7_0_509_400_41,8_1_491_400_0,9_1_492_400_7,
0_1_491_399_15,1_0_499_400_19,2_1_480_400_0,3_0_510_400_44,4_0_491_400_6,5_1_493_400_0,6_1_495_400_10,7_1_489_400_28,8_0_510_400_37,9_0_502_400_15,
0_1_495_399_3,1_0_508_400_9,2_0_501_400_16,3_1_517_400_0,4_1_508_400_12,5_0_508_400_23,6_0_491_400_12,7_1_520_400_0,8_1_490_400_13,9_0_502_400_15,
0_1_515_399_0,1_0_515_400_3,2_0_485_400_15,3_0_520_400_24,4_0_484_400_6,5_1_482_400_0,6_1_517_400_13,7_1_508_373_55,8_0_513_400_16,9_1_481_400_0,
0_0_512_399_22,1_1_484_400_0,2_1_519_400_4,3_1_484_400_0,4_1_480_400_19,5_0_511_400_8,6_0_482_400_0,7_0_516_400_0,8_1_489_400_0,9_0_515_400_5,
0_1_519_399_0,1_0_497_400_0,2_1_497_400_5,3_1_509_400_0,4_1_508_400_16,5_0_516_400_19,6_0_501_400_0,7_0_486_400_13,8_0_515_400_0,9_1_519_400_14,
0_0_479_399_0,1_1_515_400_10,2_1_502_400_5,3_0_485_400_0,4_1_496_400_4,5_1_509_400_3,6_1_509_400_0,7_0_505_400_14,8_0_517_400_0,9_0_507_400_9,
0_1_517_399_1,1_1_510_400_8,2_0_495_400_0,3_1_505_400_5,4_1_517_400_16,5_0_502_400_13,6_0_512_400_10,7_0_499_400_8,8_0_512_400_1,9_1_513_400_0,
0_0_495_399_0,1_1_512_400_0,2_0_485_400_13,3_1_481_400_0,4_1_508_400_18,5_0_516_400_37,6_1_485_400_16,7_0_483_400_18,8_0_506_400_20,9_1_509_400_32,
0_1_501_399_0,1_0_482_400_12,2_1_508_400_1,3_1_498_400_1,4_0_517_400_0,5_0_504_400_18,6_0_486_400_19,7_1_496_400_11,8_1_502_400_9,9_0_500_400_0,
0_1_512_399_19,1_1_482_400_1,2_1_480_400_1,3_1_492_400_0,4_0_481_400_5,5_0_513_400_11,6_0_486_400_16,7_0_495_400_6,8_1_512_400_9,9_0_490_400_0,
0_1_480_399_3,1_1_502_400_0,2_0_517_400_12,3_0_515_400_0,4_1_519_400_15,5_0_520_400_5,6_1_494_400_16,7_0_495_400_0,8_1_505_400_19,9_0_497_400_5,
0_1_480_399_13,1_1_486_400_7,2_0_500_400_5,3_1_505_400_0,4_0_490_400_25,5_1_503_400_16,6_0_502_400_7,7_1_495_400_1,8_0_520_400_1,9_0_489_400_18,
0_0_482_399_22,1_1_519_400_27,2_1_489_400_7,3_1_490_400_15,4_0_501_400_22,5_0_490_400_0,6_0_486_400_0,7_1_519_400_28,8_1_510_400_8,9_0_485_400_0,
0_1_491_399_16,1_0_486_400_14,2_1_497_400_0,3_1_512_400_5,4_0_480_375_22,5_0_509_400_41,6_1_503_400_11,7_0_490_400_1,8_0_489_400_9,9_1_503_400_16,
0_0_493_399_25,1_0_483_400_3,2_1_493_400_4,3_0_518_400_0,4_0_494_400_17,5_1_490_400_22,6_1_491_400_0,7_0_516_400_0,8_1_481_400_8,9_1_491_400_22,
0_0_490_399_0,1_0_491_400_5,2_0_497_400_22,3_1_512_400_0,4_1_489_400_0,5_1_487_400_0,6_1_493_400_0,7_1_490_400_0,8_0_501_400_0,9_0_495_400_2,
0_0_498_399_21,1_0_507_400_0,2_0_515_400_0,3_0_498_400_11,4_0_491_400_0,5_1_480_400_0,6_1_515_400_0,7_1_492_400_8,8_1_486_400_9,9_1_483_400_0,
0_1_490_399_16,1_1_502_396_34,2_1_503_400_7,3_1_498_400_36,4_1_512_400_0,5_0_492_400_0,6_0_501_400_15,7_0_486_400_3,8_0_512_400_7,9_0_506_368_29,
0_1_510_399_23,1_0_504_400_2,2_1_519_400_0,3_0_504_400_20,4_0_488_400_0,5_1_510_400_0,6_1_504_400_29,7_0_512_400_8,8_1_511_400_6,9_0_503_400_0,
0_0_511_399_1,1_0_482_400_0,2_0_510_400_17,3_1_503_400_0,4_0_509_400_28,5_1_509_400_36,6_1_504_400_22,7_1_491_400_2,8_0_514_400_0,9_1_484_400_3,
0_0_484_399_1,1_1_480_400_1,2_1_483_400_20,3_1_485_400_10,4_1_494_400_7,5_0_495_400_0,6_0_517_400_12,7_0_480_400_11,8_1_497_400_4,9_0_501_400_6,
0_1_492_399_12,1_0_516_400_5,2_0_518_400_7,3_1_514_400_2,4_1_504_400_0,5_0_490_400_18,6_1_509_400_20,7_0_505_399_39,8_0_503_400_34,9_1_504_400_14,
0_1_491_400_13,1_0_503_400_17,2_0_511_400_41,3_1_495_400_9,4_0_504_400_4,5_1_486_400_2,6_0_519_400_6,7_1_515_400_0,8_0_494_400_5,9_1_511_400_7,
0_0_505_400_19,1_1_499_400_0,2_0_491_400_1,3_1_512_400_14,4_0_486_400_0,5_1_520_400_1,6_0_481_400_0,7_1_508_400_13,8_1_510_400_0,9_0_492_400_37,
0_1_491_399_3,1_1_495_400_13,2_1_480_400_28,3_1_481_400_10,4_0_490_400_12,5_0_506_400_3,6_0_487_391_24,7_0_499_400_0,8_0_515_400_0,9_1_506_400_24,
0_1_498_399_13,1_1_516_400_9,2_1_518_400_15,3_0_480_400_1,4_1_513_400_0,5_1_503_400_22,6_0_505_400_0,7_0_480_400_33,8_0_494_400_1,9_0_511_400_1,
0_1_486_399_0,1_0_487_400_7,2_0_493_400_10,3_1_508_348_42,4_0_487_400_0,5_1_507_400_5,6_0_503_400_8,7_0_488_400_1,8_1_485_400_0,9_1_501_400_0,
