0_0_479_200_2,1_1_483_200_15,2_1_483_200_0,3_1_519_200_8,4_0_489_200_5,5_1_499_200_5,6_0_501_200_4,7_1_516_200_11,8_0_503_200_12,9_0_486_200_0,10_0_504_200_4,11_1_504_200_6,12_0_492_200_0,13_0_481_200_10,14_1_518_200_7,15_0_519_200_2,16_1_503_200_0,17_0_504_200_0,18_1_497_200_8,19_1_517_200_2,
0_0_510_199_1,1_1_503_200_0,2_1_484_200_10,3_1_486_200_0,4_0_519_200_0,5_1_510_200_7,6_0_484_200_2,7_0_516_200_10,8_0_504_200_11,9_1_497_200_1,10_1_493_200_0,11_0_500_200_4,12_0_492_200_15,13_0_495_200_0,14_1_507_200_10,15_1_510_200_8,16_1_517_200_15,17_1_498_200_3,18_0_494_200_0,19_0_514_200_0,
0_0_479_200_0,1_1_517_200_12,2_0_511_200_0,3_1_516_200_11,4_0_517_200_7,5_1_510_200_12,6_0_503_200_0,7_0_496_200_15,8_0_516_200_0,9_1_509_200_0,10_1_504_200_16,11_1_480_200_1,12_1_516_200_0,13_0_495_200_1,14_0_496_200_7,15_1_510_200_1,16_0_493_200_13,17_1_486_200_4,18_0_506_200_0,19_1_519_200_0,
0_1_483_199_4,1_1_520_200_4,2_0_492_200_0,3_1_493_200_0,4_0_488_200_6,5_1_504_200_12,6_1_506_200_10,7_1_518_200_25,8_1_486_200_0,9_1_506_200_8,10_0_480_200_3,11_1_488_200_2,12_0_484_200_1,13_0_491_200_0,14_1_511_200_6,15_0_484_200_5,16_0_482_200_15,17_0_514_200_8,18_0_499_200_0,19_0_499_200_0,
0_1_517_200_1,1_0_489_200_9,2_1_510_200_0,3_1_491_200_0,4_0_515_200_19,5_1_519_200_6,6_1_518_200_2,7_0_489_200_16,8_1_512_200_23,9_0_481_200_0,10_0_507_200_10,11_1_515_200_0,12_0_480_200_0,13_0_487_200_1,14_0_497_200_0,15_0_510_200_0,16_1_511_200_0,17_0_490_200_11,18_1_495_200_0,19_1_487_200_0,
0_0_501_199_15,1_0_492_200_0,2_0_497_200_0,3_1_483_200_7,4_1_499_200_0,5_0_491_200_0,6_1_504_200_1,7_1_518_200_4,8_1_513_200_7,9_0_493_200_0,10_0_502_200_17,11_1_496_200_7,12_0_513_200_25,13_1_517_200_7,14_1_500_200_0,15_1_517_200_0,16_1_518_200_8,17_0_509_200_5,18_0_492_200_0,19_0_511_200_11,
0_0_487_199_9,1_0_491_200_3,2_0_503_200_0,3_0_500_200_7,4_1_484_200_4,5_1_502_200_0,6_0_481_200_14,7_1_511_200_0,8_1_517_200_6,9_1_519_200_7,10_0_519_200_0,11_1_488_200_11,12_0_505_200_0,13_0_483_200_0,14_1_491_200_0,15_0_480_200_17,16_0_490_200_0,17_1_513_200_14,18_1_492_200_0,19_1_499_200_7,
0_0_519_199_1,1_1_490_200_1,2_0_517_200_5,3_1_492_200_0,4_1_499_200_0,5_0_483_200_5,6_1_509_200_2,7_0_515_200_0,8_0_487_200_6,9_0_504_200_3,10_0_496_200_0,11_1_488_200_27,12_0_482_200_0,13_0_494_200_11,14_1_518_200_15,15_1_515_200_0,16_0_513_200_12,17_1_496_200_6,18_1_488_200_16,19_1_495_200_7,
0_1_489_200_0,1_1_508_200_5,2_0_492_200_12,3_0_511_200_8,4_1_493_200_0,5_0_495_200_0,6_0_513_200_0,7_0_516_200_16,8_1_509_200_10,9_0_495_200_0,10_0_519_200_7,11_1_503_200_6,12_0_492_200_7,13_0_496_200_0,14_1_488_200_14,15_1_499_200_3,16_0_509_200_6,17_1_504_200_13,18_1_516_200_0,19_1_508_200_0,
0_1_510_199_7,1_1_508_200_1,2_0_508_200_7,3_0_480_200_8,4_1_515_200_0,5_1_496_200_15,6_1_487_200_0,7_0_514_200_0,8_1_518_200_0,9_0_519_200_14,10_0_500_200_11,11_1_503_200_11,12_0_488_200_7,13_1_480_200_0,14_0_514_200_1,15_0_497_200_18,16_1_484_200_4,17_0_510_200_17,18_0_508_200_3,19_1_518_200_19,
