I_t,I_c,R_t,R_c,log_ratios_infect,log_ratios_recover,
0,2,0,1,-1.0986122886681098,-0.6931471805599453,
0,1,0,0,-0.6931471805599453,0.0,
0,7,2,17,-2.0794415416798357,-1.791759469228055,
0,1,2,0,-0.6931471805599453,1.0986122886681098,
0,1,0,1,-0.6931471805599453,-0.6931471805599453,
0,4,0,7,-1.6094379124341003,-2.0794415416798357,
0,10,0,16,-2.3978952727983707,-2.833213344056216,
0,0,0,1,0.0,-0.6931471805599453,
0,0,1,0,0.0,0.6931471805599453,
0,2,0,3,-1.0986122886681098,-1.3862943611198906,
0,0,0,0,0.0,0.0,
0,0,0,2,0.0,-1.0986122886681098,
0,1,0,0,-0.6931471805599453,0.0,
0,0,0,0,0.0,0.0,
0,3,1,7,-1.3862943611198906,-1.3862943611198906,
0,0,0,2,0.0,-1.0986122886681098,
0,5,0,7,-1.791759469228055,-2.0794415416798357,
0,1,0,0,-0.6931471805599453,0.0,
1,8,1,13,-1.5040773967762742,-1.9459101490553135,
0,5,0,6,-1.791759469228055,-1.9459101490553135,
0,0,0,0,0.0,0.0,
0,7,0,20,-2.0794415416798357,-3.044522437723423,
0,0,0,2,0.0,-1.0986122886681098,
0,4,0,3,-1.6094379124341003,-1.3862943611198906,
0,4,0,5,-1.6094379124341003,-1.791759469228055,
0,2,1,0,-1.0986122886681098,0.6931471805599453,
0,1,0,7,-0.6931471805599453,-2.0794415416798357,
0,0,0,2,0.0,-1.0986122886681098,
0,5,1,4,-1.791759469228055,-0.916290731874155,
0,1,1,4,-0.6931471805599453,-0.916290731874155,
0,0,0,0,0.0,0.0,
0,6,0,11,-1.9459101490553135,-2.4849066497880004,
0,3,0,16,-1.3862943611198906,-2.833213344056216,
0,5,0,14,-1.791759469228055,-2.70805020110221,
0,0,0,0,0.0,0.0,
1,4,0,3,-0.916290731874155,-1.3862943611198906,
0,0,1,0,0.0,0.6931471805599453,
1,0,0,0,0.6931471805599453,0.0,
0,4,0,12,-1.6094379124341003,-2.5649493574615367,
0,0,0,0,0.0,0.0,
0,0,0,0,0.0,0.0,
0,2,0,2,-1.0986122886681098,-1.0986122886681098,
0,1,0,6,-0.6931471805599453,-1.9459101490553135,
0,3,0,5,-1.3862943611198906,-1.791759469228055,
0,1,0,0,-0.6931471805599453,0.0,
0,6,1,15,-1.9459101490553135,-2.0794415416798357,
0,0,0,1,0.0,-0.6931471805599453,
0,1,1,1,-0.6931471805599453,0.0,
0,0,1,0,0.0,0.6931471805599453,
0,2,0,1,-1.0986122886681098,-0.6931471805599453,
0,3,0,8,-1.3862943611198906,-2.1972245773362196,
0,0,0,1,0.0,-0.6931471805599453,
1,5,0,13,-1.0986122886681098,-2.639057329615259,
0,0,0,0,0.0,0.0,
0,5,0,13,-1.791759469228055,-2.639057329615259,
0,0,0,1,0.0,-0.6931471805599453,
0,12,0,12,-2.5649493574615367,-2.5649493574615367,
0,16,0,23,-2.833213344056216,-3.1780538303479458,
1,2,0,3,-0.40546510810816444,-1.3862943611198906,
0,4,1,7,-1.6094379124341003,-1.3862943611198906,
0,0,0,0,0.0,0.0,
0,5,0,9,-1.791759469228055,-2.3025850929940455,
0,0,0,2,0.0,-1.0986122886681098,
0,1,1,2,-0.6931471805599453,-0.40546510810816444,
0,0,0,2,0.0,-1.0986122886681098,
0,5,0,5,-1.791759469228055,-1.791759469228055,
0,12,0,11,-2.5649493574615367,-2.4849066497880004,
1,10,0,10,-1.7047480922384253,-2.3978952727983707,
0,3,1,11,-1.3862943611198906,-1.791759469228055,
0,3,0,4,-1.3862943611198906,-1.6094379124341003,
0,1,1,0,-0.6931471805599453,0.6931471805599453,
1,0,1,1,0.6931471805599453,0.0,
1,6,1,11,-1.252762968495368,-1.791759469228055,
0,3,0,2,-1.3862943611198906,-1.0986122886681098,
0,0,0,1,0.0,-0.6931471805599453,
0,0,1,7,0.0,-1.3862943611198906,
0,5,0,4,-1.791759469228055,-1.6094379124341003,
2,6,0,6,-0.8472978603872037,-1.9459101490553135,
0,0,0,0,0.0,0.0,
0,1,0,1,-0.6931471805599453,-0.6931471805599453,
0,7,1,5,-2.0794415416798357,-1.0986122886681098,
0,7,0,9,-2.0794415416798357,-2.3025850929940455,
0,5,0,5,-1.791759469228055,-1.791759469228055,
0,0,1,0,0.0,0.6931471805599453,
0,5,1,11,-1.791759469228055,-1.791759469228055,
0,0,0,4,0.0,-1.6094379124341003,
0,1,0,3,-0.6931471805599453,-1.3862943611198906,
0,0,0,0,0.0,0.0,
0,1,0,1,-0.6931471805599453,-0.6931471805599453,
0,0,0,1,0.0,-0.6931471805599453,
1,0,0,0,0.6931471805599453,0.0,
0,11,0,20,-2.4849066497880004,-3.044522437723423,
0,0,0,0,0.0,0.0,
0,1,0,0,-0.6931471805599453,0.0,
0,2,0,5,-1.0986122886681098,-1.791759469228055,
0,3,0,3,-1.3862943611198906,-1.3862943611198906,
1,1,0,0,0.0,0.0,
0,2,1,6,-1.0986122886681098,-1.252762968495368,
1,0,1,0,0.6931471805599453,0.6931471805599453,
0,0,0,0,0.0,0.0,
2,0,0,0,1.0986122886681098,0.0,
0,1,0,2,-0.6931471805599453,-1.0986122886681098,
0,0,0,0,0.0,0.0,
0,7,0,9,-2.0794415416798357,-2.3025850929940455,
0,2,0,5,-1.0986122886681098,-1.791759469228055,
0,1,0,1,-0.6931471805599453,-0.6931471805599453,
0,3,0,11,-1.3862943611198906,-2.4849066497880004,
1,0,1,1,0.6931471805599453,0.0,
0,2,0,2,-1.0986122886681098,-1.0986122886681098,
0,3,1,4,-1.3862943611198906,-0.916290731874155,
0,7,0,7,-2.0794415416798357,-2.0794415416798357,
0,0,0,0,0.0,0.0,
0,0,1,0,0.0,0.6931471805599453,
1,2,0,1,-0.40546510810816444,-0.6931471805599453,
0,6,0,6,-1.9459101490553135,-1.9459101490553135,
1,0,1,2,0.6931471805599453,-0.40546510810816444,
0,1,1,1,-0.6931471805599453,0.0,
0,1,0,3,-0.6931471805599453,-1.3862943611198906,
1,0,0,5,0.6931471805599453,-1.791759469228055,
0,1,0,0,-0.6931471805599453,0.0,
1,1,2,1,0.0,0.4054651081081644,
0,2,0,1,-1.0986122886681098,-0.6931471805599453,
0,2,0,3,-1.0986122886681098,-1.3862943611198906,
0,0,0,0,0.0,0.0,
0,3,0,6,-1.3862943611198906,-1.9459101490553135,
0,0,0,7,0.0,-2.0794415416798357,
0,2,0,2,-1.0986122886681098,-1.0986122886681098,
0,2,0,1,-1.0986122886681098,-0.6931471805599453,
0,1,0,1,-0.6931471805599453,-0.6931471805599453,
0,2,0,5,-1.0986122886681098,-1.791759469228055,
0,6,0,12,-1.9459101490553135,-2.5649493574615367,
0,0,0,0,0.0,0.0,
0,0,1,0,0.0,0.6931471805599453,
0,1,1,1,-0.6931471805599453,0.0,
0,0,0,0,0.0,0.0,
0,1,0,3,-0.6931471805599453,-1.3862943611198906,
0,8,0,8,-2.1972245773362196,-2.1972245773362196,
0,16,0,19,-2.833213344056216,-2.995732273553991,
0,0,0,0,0.0,0.0,
0,7,0,3,-2.0794415416798357,-1.3862943611198906,
0,7,1,12,-2.0794415416798357,-1.8718021769015913,
1,1,0,6,0.0,-1.9459101490553135,
0,2,0,4,-1.0986122886681098,-1.6094379124341003,
0,2,0,7,-1.0986122886681098,-2.0794415416798357,
0,2,1,3,-1.0986122886681098,-0.6931471805599453,
0,4,0,3,-1.6094379124341003,-1.3862943611198906,
1,1,0,3,0.0,-1.3862943611198906,
0,1,0,5,-0.6931471805599453,-1.791759469228055,
0,4,0,1,-1.6094379124341003,-0.6931471805599453,
0,1,0,0,-0.6931471805599453,0.0,
0,1,0,4,-0.6931471805599453,-1.6094379124341003,
0,2,0,2,-1.0986122886681098,-1.0986122886681098,
0,14,0,12,-2.70805020110221,-2.5649493574615367,
0,4,0,9,-1.6094379124341003,-2.3025850929940455,
1,4,0,9,-0.916290731874155,-2.3025850929940455,
0,8,0,4,-2.1972245773362196,-1.6094379124341003,
0,5,1,10,-1.791759469228055,-1.7047480922384253,
0,2,1,9,-1.0986122886681098,-1.6094379124341003,
0,0,0,4,0.0,-1.6094379124341003,
0,3,0,4,-1.3862943611198906,-1.6094379124341003,
0,6,0,7,-1.9459101490553135,-2.0794415416798357,
0,0,0,0,0.0,0.0,
0,0,0,4,0.0,-1.6094379124341003,
1,6,0,7,-1.252762968495368,-2.0794415416798357,
0,6,1,9,-1.9459101490553135,-1.6094379124341003,
0,0,0,0,0.0,0.0,
0,0,0,3,0.0,-1.3862943611198906,
0,3,0,3,-1.3862943611198906,-1.3862943611198906,
0,1,0,2,-0.6931471805599453,-1.0986122886681098,
0,3,0,2,-1.3862943611198906,-1.0986122886681098,
0,2,1,0,-1.0986122886681098,0.6931471805599453,
0,1,0,4,-0.6931471805599453,-1.6094379124341003,
0,5,0,20,-1.791759469228055,-3.044522437723423,
1,0,0,0,0.6931471805599453,0.0,
0,0,0,0,0.0,0.0,
0,1,0,2,-0.6931471805599453,-1.0986122886681098,
0,0,0,0,0.0,0.0,
1,3,0,4,-0.6931471805599453,-1.6094379124341003,
0,0,0,5,0.0,-1.791759469228055,
1,0,0,0,0.6931471805599453,0.0,
0,0,0,1,0.0,-0.6931471805599453,
