I_t,I_c,R_t,R_c,log_ratios_infect,log_ratios_recover,
0,7,0,15,-2.0794415416798357,-2.772588722239781,
2,15,1,19,-1.6739764335716716,-2.3025850929940455,
3,0,0,0,1.3862943611198906,0.0,
1,9,1,8,-1.6094379124341003,-1.5040773967762742,
2,1,6,3,0.4054651081081644,0.5596157879354227,
0,0,2,0,0.0,1.0986122886681098,
1,5,0,11,-1.0986122886681098,-2.4849066497880004,
0,9,1,6,-2.3025850929940455,-1.252762968495368,
1,2,4,2,-0.40546510810816444,0.5108256237659907,
1,1,1,6,0.0,-1.252762968495368,
5,0,7,1,1.791759469228055,1.3862943611198906,
1,4,1,2,-0.916290731874155,-0.40546510810816444,
5,5,10,4,0.0,0.7884573603642703,
3,1,3,2,0.6931471805599453,0.28768207245178085,
0,0,0,4,0.0,-1.6094379124341003,
0,0,0,5,0.0,-1.791759469228055,
5,1,6,0,1.0986122886681098,1.9459101490553132,
0,0,0,0,0.0,0.0,
1,0,2,0,0.6931471805599453,1.0986122886681098,
4,8,6,19,-0.587786664902119,-1.0498221244986778,
1,1,1,6,0.0,-1.252762968495368,
1,0,0,0,0.6931471805599453,0.0,
7,1,2,4,1.3862943611198906,-0.5108256237659907,
3,3,3,3,0.0,0.0,
8,8,8,4,0.0,0.5877866649021191,
0,4,0,8,-1.6094379124341003,-2.1972245773362196,
3,2,8,10,0.28768207245178085,-0.2006706954621511,
0,0,0,3,0.0,-1.3862943611198906,
8,2,14,9,1.0986122886681098,0.4054651081081644,
4,4,13,3,0.0,1.252762968495368,
3,1,4,4,0.6931471805599453,0.0,
3,1,8,2,0.6931471805599453,1.0986122886681098,
3,6,3,29,-0.5596157879354228,-2.0149030205422647,
1,1,8,4,0.0,0.5877866649021191,
1,0,2,0,0.6931471805599453,1.0986122886681098,
0,9,0,23,-2.3025850929940455,-3.1780538303479458,
4,0,8,0,1.6094379124341003,2.1972245773362196,
4,0,3,1,1.6094379124341003,0.6931471805599453,
0,0,0,2,0.0,-1.0986122886681098,
2,1,4,0,0.4054651081081644,1.6094379124341003,
1,3,5,3,-0.6931471805599453,0.4054651081081644,
0,10,0,12,-2.3978952727983707,-2.5649493574615367,
0,19,3,16,-2.995732273553991,-1.4469189829363254,
1,0,0,0,0.6931471805599453,0.0,
5,0,3,1,1.791759469228055,0.6931471805599453,
10,1,2,0,1.7047480922384253,1.0986122886681098,
9,8,11,6,0.10536051565782635,0.5389965007326869,
1,4,1,18,-0.916290731874155,-2.2512917986064953,
0,1,0,4,-0.6931471805599453,-1.6094379124341003,
1,4,2,7,-0.916290731874155,-0.9808292530117262,
0,2,1,2,-1.0986122886681098,-0.40546510810816444,
4,0,2,1,1.6094379124341003,0.4054651081081644,
4,2,20,0,0.5108256237659907,3.044522437723423,
6,3,17,6,0.5596157879354227,0.9444616088408515,
1,5,0,16,-1.0986122886681098,-2.833213344056216,
3,6,2,11,-0.5596157879354228,-1.3862943611198906,
5,0,11,1,1.791759469228055,1.791759469228055,
2,2,5,8,0.0,-0.40546510810816444,
3,2,2,3,0.28768207245178085,-0.2876820724517809,
5,0,6,0,1.791759469228055,1.9459101490553132,
0,1,0,1,-0.6931471805599453,-0.6931471805599453,
5,1,10,0,1.0986122886681098,2.3978952727983707,
