I_t,I_c,R_t,R_c,log_ratios_infect,log_ratios_recover,
5,28,7,41,-1.575536360758419,-1.6582280766035324,
10,29,19,59,-1.0033021088637848,-1.0986122886681098,
2,33,3,57,-2.4277482359480516,-2.6741486494265287,
1,32,3,48,-2.803360380906535,-2.505525936990736,
2,19,7,52,-1.8971199848858813,-1.890850371872286,
6,32,13,42,-1.550597412411167,-1.1221427860783038,
5,36,22,64,-1.8191584434161694,-1.0388930539664873,
3,12,4,35,-1.1786549963416462,-1.9740810260220096,
5,45,6,76,-2.03688192726104,-2.3978952727983707,
5,20,8,33,-1.252762968495368,-1.329135947279942,
8,21,10,30,-0.8938178760220964,-1.0360919316867756,
4,17,15,37,-1.2809338454620642,-0.8649974374866046,
5,12,8,26,-0.7731898882334817,-1.0986122886681098,
8,27,10,52,-1.1349799328389845,-1.5723966407537513,
1,30,8,52,-2.740840023925201,-1.7730673362159024,
3,17,6,48,-1.5040773967762742,-1.9459101490553135,
8,13,10,29,-0.4418327522790392,-1.0033021088637848,
4,23,6,49,-1.5686159179138452,-1.9661128563728327,
5,15,4,38,-0.9808292530117262,-2.0541237336955462,
6,14,7,28,-0.7621400520468967,-1.2878542883066382,
2,18,9,23,-1.845826690498331,-0.8754687373538999,
7,31,4,50,-1.3862943611198906,-2.322387720290225,
4,26,0,33,-1.6863989535702288,-3.5263605246161616,
5,37,5,44,-1.845826690498331,-2.0149030205422647,
4,12,11,10,-0.9555114450274363,0.0870113769896297,
1,18,2,23,-2.2512917986064953,-2.0794415416798357,
2,23,10,29,-2.0794415416798357,-1.0033021088637848,
9,31,13,45,-1.1631508098056809,-1.1895840668738362,
7,12,18,20,-0.48550781578170077,-0.10008345855698253,
8,28,13,53,-1.1700712526502546,-1.349926716949016,
2,42,6,51,-2.662587827025453,-2.005333569526114,
3,29,2,58,-2.0149030205422647,-2.9789251552376097,
4,33,14,52,-1.916922612182061,-1.262241712449912,
4,25,3,52,-1.6486586255873816,-2.583997552432231,
4,17,4,27,-1.2809338454620642,-1.7227665977411035,
8,10,11,36,-0.2006706954621511,-1.126011262856224,
9,19,10,43,-0.6931471805599453,-1.3862943611198906,
4,11,10,34,-0.8754687373538999,-1.157452788691043,
7,31,14,50,-1.3862943611198906,-1.2237754316221157,
2,20,8,33,-1.9459101490553135,-1.329135947279942,
4,34,12,46,-1.9459101490553135,-1.285198244248522,
3,15,9,31,-1.3862943611198906,-1.1631508098056809,
3,32,8,38,-2.1102132003465894,-1.466337068793427,
4,16,13,51,-1.2237754316221157,-1.3121863889661687,
5,12,12,20,-0.7731898882334817,-0.4795730802618862,
8,27,11,49,-1.1349799328389845,-1.4271163556401458,
5,24,4,55,-1.4271163556401458,-2.4159137783010487,
1,55,3,87,-3.332204510175204,-3.0910424533583156,
2,21,4,50,-1.9924301646902063,-2.322387720290225,
1,30,4,52,-2.740840023925201,-2.3608540011180215,
5,6,15,24,-0.15415067982725836,-0.4462871026284195,
4,23,8,47,-1.5686159179138452,-1.6739764335716716,
1,36,1,48,-2.917770732084279,-3.1986731175506815,
6,28,17,44,-1.4213856809311607,-0.916290731874155,
4,22,18,39,-1.5260563034950494,-0.7444404749474959,
13,42,22,64,-1.1221427860783038,-1.0388930539664873,
4,22,6,41,-1.5260563034950494,-1.791759469228055,
7,19,3,40,-0.916290731874155,-2.327277705584417,
4,26,6,69,-1.6863989535702288,-2.3025850929940455,
0,16,5,55,-2.833213344056216,-2.2335922215070942,
6,18,7,25,-0.9985288301111273,-1.1786549963416462,
7,17,14,27,-0.8109302162163288,-0.6241543090729939,
4,25,5,35,-1.6486586255873816,-1.791759469228055,
5,29,8,76,-1.6094379124341003,-2.1465808445174646,
4,8,10,35,-0.587786664902119,-1.1856236656577395,
3,20,1,40,-1.6582280766035324,-3.0204248861443626,
10,16,11,35,-0.4353180712578455,-1.0986122886681098,
14,18,14,29,-0.2363887780642304,-0.6931471805599453,
6,16,7,32,-0.8873031950009028,-1.4170660197866443,
2,28,4,53,-2.268683541318364,-2.379546134130174,
3,13,5,33,-1.252762968495368,-1.7346010553881064,
9,24,15,44,-0.916290731874155,-1.0340737675305385,
6,15,18,54,-0.8266785731844679,-1.0628942060660305,
5,17,7,48,-1.0986122886681098,-1.8123787564307907,
4,11,10,33,-0.8754687373538999,-1.128465251817791,
3,20,9,43,-1.6582280766035324,-1.4816045409242156,
1,30,11,54,-2.740840023925201,-1.5224265354444706,
2,32,8,52,-2.3978952727983707,-1.7730673362159024,
7,32,13,43,-1.4170660197866443,-1.1451323043030026,
8,13,11,18,-0.4418327522790392,-0.4595323293784402,
2,18,6,44,-1.845826690498331,-1.8607523407150064,
5,18,8,37,-1.1526795099383855,-1.4403615823901665,
2,20,6,42,-1.9459101490553135,-1.8152899666382492,
8,26,10,38,-1.0986122886681098,-1.2656663733312759,
0,35,4,58,-3.58351893845611,-2.468099531471619,
3,42,5,60,-2.374905754573672,-2.3191143949452564,
9,15,27,28,-0.4700036292457356,-0.03509131981127006,
5,15,13,31,-0.9808292530117262,-0.8266785731844679,
5,28,8,36,-1.575536360758419,-1.413693335308005,
7,31,9,57,-1.3862943611198906,-1.7578579175523736,
