I_t,I_c,R_t,R_c,log_ratios_infect,log_ratios_recover,
0,8,0,14,-2.1972245773362196,-2.70805020110221,
0,8,1,7,-2.1972245773362196,-1.3862943611198906,
0,10,0,15,-2.3978952727983707,-2.772588722239781,
1,2,3,4,-0.40546510810816444,-0.2231435513142097,
0,6,0,7,-1.9459101490553135,-2.0794415416798357,
0,6,0,4,-1.9459101490553135,-1.6094379124341003,
0,5,0,10,-1.791759469228055,-2.3978952727983707,
0,1,0,5,-0.6931471805599453,-1.791759469228055,
0,1,0,1,-0.6931471805599453,-0.6931471805599453,
0,11,0,14,-2.4849066497880004,-2.70805020110221,
0,4,0,10,-1.6094379124341003,-2.3978952727983707,
0,0,1,2,0.0,-0.40546510810816444,
1,2,0,13,-0.40546510810816444,-2.639057329615259,
0,10,0,17,-2.3978952727983707,-2.890371757896165,
0,3,1,11,-1.3862943611198906,-1.791759469228055,
0,8,1,8,-2.1972245773362196,-1.5040773967762742,
0,5,0,2,-1.791759469228055,-1.0986122886681098,
0,1,0,2,-0.6931471805599453,-1.0986122886681098,
0,4,2,6,-1.6094379124341003,-0.8472978603872037,
0,2,0,3,-1.0986122886681098,-1.3862943611198906,
0,4,2,5,-1.6094379124341003,-0.6931471805599453,
0,7,0,16,-2.0794415416798357,-2.833213344056216,
0,5,3,6,-1.791759469228055,-0.5596157879354228,
0,4,1,13,-1.6094379124341003,-1.9459101490553135,
0,13,1,13,-2.639057329615259,-1.9459101490553135,
0,2,0,0,-1.0986122886681098,0.0,
0,2,0,1,-1.0986122886681098,-0.6931471805599453,
0,6,1,23,-1.9459101490553135,-2.4849066497880004,
0,8,1,5,-2.1972245773362196,-1.0986122886681098,
0,4,0,7,-1.6094379124341003,-2.0794415416798357,
0,6,0,6,-1.9459101490553135,-1.9459101490553135,
0,1,0,6,-0.6931471805599453,-1.9459101490553135,
0,7,0,5,-2.0794415416798357,-1.791759469228055,
0,6,1,10,-1.9459101490553135,-1.7047480922384253,
0,0,0,1,0.0,-0.6931471805599453,
0,0,0,2,0.0,-1.0986122886681098,
0,4,0,4,-1.6094379124341003,-1.6094379124341003,
0,0,0,0,0.0,0.0,
0,6,1,6,-1.9459101490553135,-1.252762968495368,
0,3,0,8,-1.3862943611198906,-2.1972245773362196,
0,1,0,2,-0.6931471805599453,-1.0986122886681098,
0,8,0,20,-2.1972245773362196,-3.044522437723423,
0,2,2,8,-1.0986122886681098,-1.0986122886681098,
0,9,1,13,-2.3025850929940455,-1.9459101490553135,
0,1,0,16,-0.6931471805599453,-2.833213344056216,
0,2,0,4,-1.0986122886681098,-1.6094379124341003,
0,14,1,14,-2.70805020110221,-2.0149030205422647,
0,11,0,15,-2.4849066497880004,-2.772588722239781,
0,8,1,16,-2.1972245773362196,-2.1400661634962708,
0,6,0,5,-1.9459101490553135,-1.791759469228055,
1,0,0,3,0.6931471805599453,-1.3862943611198906,
0,3,0,9,-1.3862943611198906,-2.3025850929940455,
0,1,1,10,-0.6931471805599453,-1.7047480922384253,
0,0,0,0,0.0,0.0,
0,1,0,4,-0.6931471805599453,-1.6094379124341003,
0,12,2,12,-2.5649493574615367,-1.466337068793427,
0,2,0,5,-1.0986122886681098,-1.791759469228055,
0,11,0,11,-2.4849066497880004,-2.4849066497880004,
0,0,0,2,0.0,-1.0986122886681098,
0,0,0,0,0.0,0.0,
1,6,0,8,-1.252762968495368,-2.1972245773362196,
0,0,3,0,0.0,1.3862943611198906,
0,15,3,13,-2.772588722239781,-1.252762968495368,
0,7,0,20,-2.0794415416798357,-3.044522437723423,
0,8,1,9,-2.1972245773362196,-1.6094379124341003,
0,3,0,4,-1.3862943611198906,-1.6094379124341003,
