I_t,I_c,R_t,R_c,log_ratios_infect,log_ratios_recover,
18,13,27,41,0.3053816495511819,-0.40546510810816444,
26,31,83,41,-0.16989903679539747,0.6931471805599453,
21,36,28,58,-0.5198754592859085,-0.7102416139192453,
31,22,46,30,0.3302416868705768,0.4161603972249123,
11,13,26,18,-0.15415067982725836,0.3513978868378886,
38,10,45,23,1.2656663733312759,0.6505875661411494,
12,38,29,39,-1.0986122886681098,-0.2876820724517809,
24,38,41,91,-0.44468582126144557,-0.7841189587656721,
9,33,18,61,-1.2237754316221157,-1.1826954058786512,
34,49,62,73,-0.35667494393873245,-0.16093036681263712,
16,10,51,20,0.4353180712578455,0.9067212808580044,
31,29,56,37,0.06453852113757116,0.4054651081081644,
16,44,35,51,-0.9734491457141037,-0.3677247801253174,
12,22,45,36,-0.570544858467613,0.21772348384487053,
15,44,35,72,-1.0340737675305385,-0.7069405026922811,
23,17,36,31,0.28768207245178085,0.1451820098444979,
28,20,59,38,0.322773392263051,0.43078291609245434,
21,29,36,45,-0.3101549283038396,-0.21772348384487053,
31,45,55,67,-0.3629054936893685,-0.1941560144409575,
31,24,62,34,0.2468600779315258,0.5877866649021191,
35,24,43,40,0.36464311358790924,0.07061756721395342,
16,35,41,42,-0.750305594399894,-0.02353049741019416,
23,35,43,48,-0.40546510810816444,-0.10763066419236544,
24,40,37,50,-0.49469624183610705,-0.29423947299793995,
23,14,47,17,0.47000362924573563,0.9808292530117262,
30,23,43,33,0.2559333741372007,0.25782910930209985,
44,18,59,45,0.8622235106038793,0.2657031657330057,
22,29,22,39,-0.2657031657330056,-0.5533852381847867,
38,20,59,42,0.6190392084062235,0.3331444465285383,
32,46,52,87,-0.3536400402435783,-0.5070449009260846,
21,8,51,30,0.8938178760220965,0.5172565140962812,
37,22,72,35,0.5020919437972361,0.706940502692281,
42,36,58,66,0.1502822030493379,-0.12715517548524663,
20,36,36,53,-0.5663954749208014,-0.3780661339200499,
29,34,43,47,-0.15415067982725836,-0.08701137698962981,
20,31,52,66,-0.42121346507630353,-0.2344007058388443,
14,15,20,38,-0.06453852113757118,-0.6190392084062235,
18,16,41,20,0.1112256351102244,0.6931471805599453,
35,23,55,32,0.4054651081081644,0.528844129268669,
23,23,54,43,0.0,0.22314355131420976,
18,25,43,51,-0.31365755885504165,-0.1670540846631662,
29,33,42,44,-0.12516314295400605,-0.04546237407675729,
26,36,43,63,-0.3150810466398954,-0.3746934494414107,
17,18,32,30,-0.05406722127027582,0.06252035698133393,
22,27,43,52,-0.19671029424605427,-0.1861022796338606,
19,45,27,65,-0.832909122935104,-0.8574502318512216,
30,26,68,40,0.13815033848081718,0.5205344378929515,
14,29,25,45,-0.6931471805599453,-0.570544858467613,
14,22,32,27,-0.4274440148269396,0.16430305129127634,
22,29,36,38,-0.2657031657330056,-0.05264373348542203,
29,8,53,9,1.2039728043259361,1.6863989535702288,
20,8,48,22,0.8472978603872037,0.756326082181477,
31,22,59,38,0.3302416868705768,0.43078291609245434,
41,21,68,46,0.6466271649250525,0.3839589028872008,
20,57,79,74,-1.0159205728229963,0.06453852113757116,
48,37,62,61,0.25423413838424086,0.01600034134644112,
22,27,56,47,-0.19671029424605427,0.17185025692665923,
27,29,33,59,-0.06899287148695143,-0.5679840376059393,
24,44,44,74,-0.587786664902119,-0.5108256237659907,
34,37,51,54,-0.08223809823697212,-0.056089466651043585,
39,10,72,30,1.2909841813155658,0.8564722366632449,
30,16,60,37,0.6007738604289301,0.47328770444692553,
13,38,36,52,-1.024504316514388,-0.35937400090789745,
32,33,44,58,-0.02985296314968116,-0.27087495413539975,
15,38,29,78,-0.8909729238898653,-0.968250470804866,
28,34,45,58,-0.1880522315029396,-0.2488960474166244,
41,9,71,23,1.4350845252893227,1.0986122886681098,
25,25,36,39,0.0,-0.0779615414697118,
29,15,61,27,0.6286086594223741,0.7949298748698876,
14,31,18,40,-0.7576857016975165,-0.7691330875378672,
45,16,78,34,0.995428052432879,0.8140997909776078,
36,20,62,44,0.5663954749208014,0.3364722366212129,
35,24,88,35,0.36464311358790924,0.9051174312760298,
19,31,45,60,-0.4700036292457356,-0.28223246768421634,
18,28,24,58,-0.4228568508200336,-0.8586616190375187,
35,22,73,32,0.44802472252696035,0.8075575317376894,
3,20,19,30,-1.6582280766035324,-0.4382549309311553,
13,18,41,37,-0.3053816495511819,0.10008345855698263,
35,22,58,36,0.44802472252696035,0.46661953126149497,
29,21,71,59,0.31015492830383945,0.1823215567939546,
18,32,46,40,-0.5520685823000397,0.1365755350057507,
41,15,55,32,0.965080896043587,0.528844129268669,
15,28,25,44,-0.5947071077466928,-0.5485659517488378,
15,25,45,42,-0.48550781578170077,0.06744128079553248,
26,45,42,63,-0.5328045304847658,-0.39768296766610944,
40,25,67,36,0.4554755286828257,0.6085897925318823,
29,11,65,17,0.9162907318741551,1.2992829841302609,
20,24,39,51,-0.1743533871447778,-0.262364264467491,
25,32,35,59,-0.23841102344499823,-0.5108256237659907,
17,16,28,20,0.05715841383994862,0.322773392263051,
12,15,50,51,-0.2076393647782445,-0.019418085857101627,
43,20,59,14,0.7396671961948382,1.3862943611198906,
32,22,41,34,0.3610133455373305,0.1823215567939546,
16,45,38,85,-0.995428052432879,-0.7907856501238614,
29,24,55,38,0.1823215567939546,0.3617900446055028,
15,52,23,75,-1.1977031913123406,-1.1526795099383855,
27,27,54,51,0.0,0.05608946665104358,
43,25,72,19,0.5260930958967791,1.2947271675944,
