I_t,I_c,R_t,R_c,log_ratios_infect,log_ratios_recover,
5,22,18,27,-1.3437347467010947,-0.38776553100876343,
33,8,39,21,1.329135947279942,0.5978370007556204,
10,9,8,24,0.09531017980432493,-1.0216512475319814,
17,15,24,22,0.11778303565638346,0.083381608939051,
18,8,26,18,0.7472144018302211,0.3513978868378886,
24,21,35,42,0.127833371509885,-0.17768117723745236,
25,32,25,50,-0.23841102344499823,-0.6737290947028438,
8,16,15,25,-0.6359887667199967,-0.48550781578170077,
14,16,19,22,-0.12516314295400605,-0.13976194237515874,
9,10,11,6,-0.0953101798043249,0.5389965007326869,
21,11,27,22,0.6061358035703155,0.1967102942460543,
10,17,14,18,-0.49247648509779407,-0.2363887780642304,
16,16,27,12,0.0,0.7672551527136672,
16,9,40,20,0.5306282510621704,0.6690496289808848,
19,34,29,35,-0.5596157879354228,-0.1823215567939546,
13,16,23,32,-0.1941560144409575,-0.3184537311185346,
31,28,48,51,0.09844007281325251,-0.059423420470800764,
30,29,68,70,0.03278982282299097,-0.028573372444056,
26,6,55,14,1.349926716949016,1.3173014896329391,
24,31,23,58,-0.24686007793152578,-0.8994836135577737,
21,29,34,63,-0.3101549283038396,-0.6035350218702582,
15,23,21,25,-0.40546510810816444,-0.1670540846631662,
11,8,21,19,0.28768207245178085,0.09531017980432493,
8,24,20,33,-1.0216512475319814,-0.4818380868927383,
11,22,12,38,-0.6505875661411494,-1.0986122886681098,
42,14,59,45,1.0531499145913523,0.2657031657330057,
17,22,22,41,-0.24512245803298496,-0.6021754023542185,
19,6,33,10,1.0498221244986776,1.128465251817791,
29,13,26,12,0.7621400520468967,0.7308875085427924,
25,15,37,22,0.4855078157817008,0.5020919437972361,
20,9,33,11,0.7419373447293773,1.0414538748281612,
5,23,13,42,-1.3862943611198906,-1.1221427860783038,
9,17,19,33,-0.587786664902119,-0.5306282510621704,
10,4,10,11,0.7884573603642703,-0.08701137698962981,
17,15,34,22,0.11778303565638346,0.41985384556026406,
27,15,47,20,0.5596157879354227,0.8266785731844679,
10,12,11,21,-0.1670540846631662,-0.6061358035703156,
13,11,28,19,0.15415067982725836,0.371563556432483,
25,26,45,37,-0.037740327982847086,0.19105523676270922,
14,5,35,16,0.9162907318741551,0.750305594399894,
17,12,47,32,0.32542240043462795,0.3746934494414107,
30,10,49,14,1.0360919316867758,1.2039728043259361,
20,7,19,8,0.965080896043587,0.7985076962177716,
7,18,35,26,-0.8649974374866046,0.28768207245178085,
35,32,65,59,0.0870113769896297,0.09531017980432493,
4,27,17,47,-1.7227665977411035,-0.9808292530117262,
23,20,30,47,0.13353139262452257,-0.4372138064227446,
19,18,31,36,0.05129329438755048,-0.14518200984449783,
8,32,17,46,-1.2992829841302609,-0.9597758438138939,
20,22,30,37,-0.09097177820572676,-0.20359895524123955,
15,18,40,13,-0.17185025692665928,1.074514737089049,
9,17,10,34,-0.587786664902119,-1.157452788691043,
27,23,24,49,0.15415067982725836,-0.6931471805599453,
8,14,28,32,-0.5108256237659907,-0.12921173148000623,
16,10,51,24,0.4353180712578455,0.7323678937132266,
20,14,30,16,0.3364722366212129,0.6007738604289301,
38,28,57,37,0.29626581614317243,0.4228568508200336,
37,13,61,28,0.9985288301111273,0.7598385550586174,
20,9,43,31,0.7419373447293773,0.3184537311185346,
10,23,23,39,-0.7801585575495751,-0.5108256237659907,
17,31,21,59,-0.5753641449035618,-1.0033021088637848,
37,21,52,40,0.5465437063680699,0.25671984684781407,
13,16,34,14,-0.1941560144409575,0.8472978603872037,
32,3,45,8,2.1102132003465894,1.6314168191528755,
15,22,22,31,-0.3629054936893685,-0.33024168687057687,
18,14,22,34,0.23638877806423034,-0.419853845560264,
6,15,7,27,-0.8266785731844679,-1.252762968495368,
16,15,52,22,0.06062462181643484,0.8347976976229722,
15,37,39,50,-0.8649974374866046,-0.24294617861038947,
30,25,42,34,0.1758906664636642,0.20585205420414882,
10,35,11,38,-1.1856236656577395,-1.1786549963416462,
8,28,19,35,-1.1700712526502546,-0.587786664902119,
19,15,24,21,0.22314355131420976,0.127833371509885,
14,21,27,37,-0.38299225225610584,-0.3053816495511819,
9,19,12,36,-0.6931471805599453,-1.0459685551826876,
3,22,18,40,-1.749199854809259,-0.7691330875378672,
21,11,21,20,0.6061358035703155,0.04652001563489291,
6,29,28,47,-1.455287232606842,-0.503905180921417,
11,6,21,19,0.5389965007326869,0.09531017980432493,
18,25,48,53,-0.31365755885504165,-0.09716374845364774,
16,6,24,8,0.8873031950009027,1.0216512475319812,
29,12,37,32,0.8362480242006185,0.1410785982599056,
19,28,23,37,-0.37156355643248296,-0.4595323293784402,
21,13,38,20,0.4519851237430572,0.6190392084062235,
33,19,43,29,0.5306282510621704,0.3829922522561057,
12,9,36,31,0.26236426446749106,0.1451820098444979,
34,4,43,14,1.9459101490553132,1.076139432816051,
24,12,28,21,0.653926467406664,0.27625337662815813,
15,13,20,22,0.13353139262452257,-0.09097177820572676,
10,15,40,23,-0.3746934494414107,0.5355182363563621,
4,12,16,10,-0.9555114450274363,0.4353180712578455,
30,22,41,33,0.29849298855599654,0.21130909366720696,
4,25,15,29,-1.6486586255873816,-0.6286086594223742,
10,9,27,25,0.09531017980432493,0.07410797215372183,
28,42,43,61,-0.3939042857070884,-0.3429447511268303,
28,21,26,35,0.27625337662815813,-0.2876820724517809,
16,18,16,22,-0.11122563511022437,-0.3022808718729337,
18,25,28,33,-0.31365755885504165,-0.1590646946296874,
27,16,47,14,0.4989911661189878,1.1631508098056809,
19,11,38,21,0.5108256237659907,0.5725191927713306,
15,24,23,27,-0.4462871026284195,-0.15415067982725836,
17,18,19,32,-0.05406722127027582,-0.5007752879124893,
18,6,29,5,0.9985288301111273,1.6094379124341003,
9,14,9,31,-0.40546510810816444,-1.1631508098056809,
13,18,31,25,-0.3053816495511819,0.20763936477824455,
16,5,21,7,1.0414538748281612,1.0116009116784799,
15,19,25,27,-0.2231435513142097,-0.07410797215372185,
16,4,26,7,1.2237754316221157,1.2163953243244932,
11,13,14,27,-0.15415067982725836,-0.6241543090729939,
