I_t,I_c,R_t,R_c,log_ratios_infect,log_ratios_recover,
6,57,13,90,-2.114532861491106,-1.8718021769015913,
3,32,4,49,-2.1102132003465894,-2.3025850929940455,
4,36,3,65,-2.001480000210124,-2.803360380906535,
10,20,13,35,-0.6466271649250525,-0.9444616088408514,
2,32,5,67,-2.3978952727983707,-2.4277482359480516,
1,31,5,57,-2.772588722239781,-2.268683541318364,
8,28,11,47,-1.1700712526502546,-1.3862943611198906,
3,26,5,41,-1.9095425048844386,-1.9459101490553135,
5,32,10,80,-1.7047480922384253,-1.9965538818740682,
8,20,17,44,-0.8472978603872037,-0.916290731874155,
4,46,7,61,-2.2407096892759584,-2.0476928433652555,
5,28,17,61,-1.575536360758419,-1.2367626271489267,
2,45,8,56,-2.7300291078209855,-1.845826690498331,
5,49,13,82,-2.120263536200091,-1.7797832781813394,
10,33,8,61,-1.128465251817791,-1.929909807708872,
4,38,8,69,-2.0541237336955462,-2.05127066471314,
7,39,13,83,-1.6094379124341003,-1.791759469228055,
3,40,8,70,-2.327277705584417,-2.065455299705096,
4,27,5,38,-1.7227665977411035,-1.8718021769015913,
7,25,10,34,-1.1786549963416462,-1.157452788691043,
3,16,3,25,-1.4469189829363254,-1.8718021769015913,
6,31,3,50,-1.5198257537444133,-2.5455312716044354,
6,42,10,75,-1.8152899666382492,-1.9328380674879604,
1,22,12,37,-2.4423470353692043,-1.072636802264849,
3,63,1,88,-2.772588722239781,-3.7954891891721947,
2,16,6,43,-1.7346010553881064,-1.8382794848629478,
0,34,5,79,-3.5553480614894135,-2.5902671654458267,
7,26,4,28,-1.2163953243244932,-1.7578579175523736,
6,39,12,70,-1.742969305058623,-1.6977305195797787,
1,42,4,56,-3.068052935133617,-2.4336133554004498,
0,60,6,105,-4.110873864173311,-2.717528945056754,
7,36,5,33,-1.5314763709643884,-1.7346010553881064,
2,10,7,23,-1.2992829841302609,-1.0986122886681098,
10,39,4,53,-1.2909841813155656,-2.379546134130174,
4,28,15,31,-1.7578579175523736,-0.6931471805599453,
4,27,9,60,-1.7227665977411035,-1.8082887711792657,
1,25,6,39,-2.5649493574615367,-1.742969305058623,
7,34,8,50,-1.4759065198095778,-1.7346010553881064,
6,19,9,51,-1.0498221244986778,-1.6486586255873816,
3,43,0,52,-2.3978952727983707,-3.970291913552122,
