"","x"
"1",-2.77258872223978
"2",-2.30258509299405
"3",-3.29583686600433
"4",-2.19722457733622
"5",-1.50407739677627
"6",-2.56494935746154
"7",-3.49650756146648
"8",-2.83321334405622
"9",-1.09861228866811
"10",-2.4423470353692
"11",-1.70474809223843
"12",-3.09104245335832
"13",-3.09104245335832
"14",-3.46573590279973
"15",-1.87180217690159
"16",-2.67414864942653
"17",-2.19722457733622
"18",-2.56494935746154
"19",-3.61091791264422
"20",-1.79175946922805
"21",-3.3322045101752
"22",-2.30258509299405
"23",-1.79175946922805
"24",-1.87180217690159
"25",-2.70805020110221
"26",-3.49650756146648
"27",-3.66356164612965
"28",-3.85014760171006
"29",-1.94591014905531
"30",-2.94443897916644
"31",-2.63905732961526
"32",-2.484906649788
"33",-1.79175946922805
"34",-3.49650756146648
"35",-1.70474809223843
"36",-2.39789527279837
"37",-1.70474809223843
"38",-3.73766961828337
"39",-2.39789527279837
"40",-1.09861228866811
"41",-3.40119738166216
"42",-1.6094379124341
"43",-1.38629436111989
"44",-3.68887945411394
"45",-2.94443897916644
"46",-1.87180217690159
"47",-2.63905732961526
"48",-3.09104245335832
"49",0
"50",-1.25276296849537
"51",-3.09104245335832
"52",-3.36729582998647
"53",-2.94443897916644
"54",-3.15700042115011
"55",-2.484906649788
"56",-2.4423470353692
"57",-3.17805383034795
"58",-0.693147180559945
"59",-3.3322045101752
"60",-3.2188758248682
"61",-3.36729582998647
"62",-3.04452243772342
"63",-2.14006616349627
"64",-3.55534806148941
"65",-1.79175946922805
"66",-2.77258872223978
"67",0.287682072451781
"68",-1.6094379124341
"69",-2.99573227355399
"70",-2.70805020110221
"71",-1.84582669049833
"72",-2.94443897916644
"73",-1.6094379124341
"74",-2.7408400239252
"75",-2.19722457733622
"76",-2.30258509299405
"77",-2.39789527279837
"78",-2.56494935746154
"79",-2.52572864430826
"80",-2.07944154167984
"81",-3.46573590279973
"82",-1.09861228866811
"83",-0.510825623765991
"84",-0.22314355131421
"85",-2.63905732961526
"86",-2.30258509299405
"87",-3.61091791264422
"88",-1.6094379124341
"89",-0.916290731874155
"90",-3.46573590279973
"91",-1.70474809223843
"92",-2.23359222150709
"93",-3.80666248977032
"94",-3.15700042115011
"95",-2.484906649788
"96",-2.56494935746154
"97",0
"98",-3.55534806148941
"99",0
"100",-2.484906649788
"101",-2.30258509299405
"102",-1.79175946922805
"103",-1.09861228866811
"104",-3.40119738166216
"105",-2.07944154167984
"106",-1.50407739677627
"107",-2.19722457733622
"108",-3.25809653802148
"109",-1.79175946922805
"110",-3.25809653802148
"111",-2.07944154167984
"112",-2.03688192726104
"113",-1.29928298413026
"114",-1.79175946922805
"115",-1.28093384546206
"116",-3.09104245335832
"117",-3.2188758248682
"118",-3.09104245335832
"119",-2.484906649788
"120",0
"121",-1.6094379124341
"122",-2.83321334405622
"123",-3.13549421592915
"124",-3.09104245335832
"125",-2.03688192726104
"126",-2.56494935746154
"127",-3.43398720448515
"128",-3.04452243772342
"129",-2.35137525716348
"130",-3.95124371858143
"131",-2.484906649788
"132",-2.52572864430826
"133",-3.29583686600433
"134",-2.484906649788
"135",-1.79175946922805
"136",-1.6094379124341
"137",-1.94591014905531
"138",-3.91202300542815
"139",-1.6094379124341
"140",-2.39789527279837
"141",-3.43398720448515
"142",-0.980829253011726
"143",-2.07944154167984
"144",0
"145",-2.56494935746154
"146",-3.25809653802148
"147",-1.46633706879343
"148",-3.71357206670431
"149",-3.95124371858143
"150",-3.36729582998647
"151",-0.287682072451781
"152",-2.4423470353692
"153",-3.17805383034795
"154",-3.55534806148941
"155",-3.17805383034795
"156",-2.03688192726104
"157",-1.79175946922805
"158",1.38629436111989
"159",-1.38629436111989
"160",-2.19722457733622
"161",-1.6094379124341
"162",-2.01490302054226
"163",-2.2512917986065
"164",-1.38629436111989
"165",-2.83321334405622
"166",-2.99573227355399
"167",-2.39789527279837
"168",-1.09861228866811
"169",-4.20469261939097
"170",-3.36729582998647
"171",-2.14006616349627
"172",-3.2188758248682
"173",-0.405465108108164
"174",-2.77258872223978
"175",-2.23359222150709
"176",-1.25276296849537
"177",-3.43398720448515
"178",-1.84582669049833
"179",-2.67414864942653
"180",-2.30258509299405
"181",-0.693147180559945
"182",-3.43398720448515
"183",-1.94591014905531
"184",-2.77258872223978
"185",-2.89037175789616
"186",-3.29583686600433
"187",-0.405465108108164
"188",-1.38629436111989
"189",-2.56494935746154
"190",-1.79175946922805
"191",0
