"","x"
"1",-3.63758615972639
"2",-0.847297860387204
"3",-2.89037175789616
"4",-0.693147180559945
"5",-2.38262780066758
"6",-1.31218638896617
"7",-1.89711998488588
"8",-0.374693449441411
"9",-1.09861228866811
"10",-1.67397643357167
"11",-3.40119738166216
"12",-1.46633706879343
"13",-3.61091791264422
"14",-0.78845736036427
"15",-2.35137525716348
"16",-3.17805383034795
"17",-2.19722457733622
"18",-2.12026353620009
"19",-2.94443897916644
"20",-1.99243016469021
"21",-1.29098418131557
"22",-0.441832752279039
"23",-2.63905732961526
"24",-2.15176220325946
"25",-3.34403896782221
"26",-1.44691898293633
"27",-2.07944154167984
"28",-1.46633706879343
"29",-1.50407739677627
"30",-2.52572864430826
"31",-2.23359222150709
"32",-1.16315080980568
"33",-3.17805383034795
"34",-2.56494935746154
"35",-2.30258509299405
"36",-1.32175583998232
"37",-1.79175946922805
"38",-2.77258872223978
"39",-0.847297860387204
"40",-2.12026353620009
"41",-2.30258509299405
"42",-0.980829253011726
"43",-3.41772668361337
"44",-1.38629436111989
"45",-3.73766961828337
"46",-0.773189888233482
"47",-2.65675690671466
"48",-1.6094379124341
"49",-3.55534806148941
"50",-1.94591014905531
"51",-1.58696505658204
"52",-0.916290731874155
"53",0.182321556793955
"54",-1.90954250488444
"55",-1.70474809223843
"56",-4.47733681447821
"57",-2.56494935746154
"58",-2.28577797467766
"59",-0.435318071257845
"60",-2.93119375241642
"61",-2.484906649788
"62",-1.09861228866811
"63",-0.773189888233482
"64",-3.44998754583159
"65",-3.2188758248682
"66",-3.29583686600433
"67",-2.27726728500976
"68",-1.86075234071501
"69",-3.36729582998647
"70",-2.17475172148416
"71",-1.50407739677627
"72",-2.68102152871429
"73",-1.7730673362159
"74",-1.09861228866811
"75",-2.07944154167984
"76",-2.14843441316679
"77",-1.06784063000136
"78",-3.9982007016692
"79",-0.916290731874155
"80",-1.20397280432594
"81",-2.94443897916644
"82",-1.28093384546206
"83",-2.70805020110221
"84",-2.21920348405499
"85",-0.65677953638907
"86",-2.19722457733622
"87",-1.75785791755237
"88",-1.27296567581289
"89",-1.94591014905531
"90",0.916290731874155
"91",-2.42774823594805
"92",-1.56861591791385
"93",-1.44691898293633
"94",-2.484906649788
"95",-2.07944154167984
"96",-1.57239664075375
"97",-2.484906649788
"98",-2.9704144655697
"99",-2.01490302054226
"100",-1.38629436111989
"101",-2.26868354131836
"102",-1.38629436111989
"103",-3.29583686600433
"104",-2.07944154167984
"105",-3.11351530921037
"106",-1.54044504094715
"107",-1.99243016469021
"108",-0.45953232937844
"109",-2.07944154167984
"110",-2.35137525716348
"111",-2.27726728500976
"112",-0.405465108108164
"113",-3.3499040872746
"114",-2.63905732961526
"115",-1.38629436111989
"116",-2.30258509299405
"117",-2.39789527279837
"118",-2.16905370036952
"119",-1.71479842809193
"120",0
"121",-1.52605630349505
"122",-1.7227665977411
"123",-2.94443897916644
"124",-3.13549421592915
"125",-3.58351893845611
"126",-2.03688192726104
"127",-2.79902197930794
"128",-4.06044301054642
"129",-3.11351530921037
"130",-1.64865862558738
"131",-0.628608659422374
"132",-2.78501124223834
"133",-1.79175946922805
"134",-1.76766191764899
"135",-4.12713438504509
"136",-0.287682072451781
"137",-0.847297860387204
"138",-1.46633706879343
"139",-0.847297860387204
"140",-2.2512917986065
"141",-1.06289420606603
"142",-2.59026716544583
"143",-0.22314355131421
"144",0
"145",-2.63905732961526
"146",-4.17438726989564
"147",-1.53532994028038
"148",-1.64865862558738
