I_t,I_c,R_t,R_c,log_ratios_infect,log_ratios_recover,
3,0,15,7,1.3862943611198906,0.6931471805599453,
21,4,34,4,1.4816045409242156,1.9459101490553132,
9,1,8,1,1.6094379124341003,1.5040773967762742,
6,42,13,55,-1.8152899666382492,-1.3862943611198906,
6,0,9,0,1.9459101490553132,2.302585092994046,
4,3,10,12,0.22314355131420976,-0.1670540846631662,
8,0,13,0,2.1972245773362196,2.6390573296152584,
9,4,19,8,0.6931471805599453,0.7985076962177716,
5,8,9,19,-0.40546510810816444,-0.6931471805599453,
19,17,37,49,0.10536051565782635,-0.2744368457017603,
4,9,0,22,-0.6931471805599453,-3.1354942159291497,
11,1,13,7,1.791759469228055,0.5596157879354227,
2,16,1,31,-1.7346010553881064,-2.772588722239781,
3,8,4,8,-0.8109302162163288,-0.587786664902119,
0,0,7,1,0.0,1.3862943611198906,
14,6,19,8,0.7621400520468967,0.7985076962177716,
13,2,12,0,1.540445040947149,2.5649493574615367,
0,16,0,19,-2.833213344056216,-2.995732273553991,
3,8,3,7,-0.8109302162163288,-0.6931471805599453,
7,6,17,10,0.13353139262452257,0.49247648509779424,
3,9,6,19,-0.916290731874155,-1.0498221244986778,
7,0,6,3,2.0794415416798357,0.5596157879354227,
5,10,14,12,-0.6061358035703156,0.14310084364067324,
0,0,2,3,0.0,-0.2876820724517809,
0,1,1,1,-0.6931471805599453,0.0,
9,7,6,6,0.22314355131420976,0.0,
7,2,8,2,0.9808292530117262,1.0986122886681098,
47,10,84,14,1.4733057381095203,1.7346010553881064,
21,11,37,21,0.6061358035703155,0.5465437063680699,
2,15,6,21,-1.6739764335716716,-1.1451323043030026,
7,8,7,12,-0.11778303565638351,-0.48550781578170077,
0,3,0,8,-1.3862943611198906,-2.1972245773362196,
6,9,15,16,-0.35667494393873245,-0.060624621816434854,
3,28,4,27,-1.9810014688665833,-1.7227665977411035,
4,5,17,7,-0.1823215567939546,0.8109302162163288,
2,2,6,1,0.0,1.252762968495368,
1,27,10,66,-2.639057329615259,-1.8067973465925955,
12,16,21,49,-0.2682639865946794,-0.8209805520698302,
17,12,40,34,0.32542240043462795,0.1582240052148942,
8,5,16,8,0.4054651081081644,0.6359887667199967,
8,20,7,36,-0.8472978603872037,-1.5314763709643884,
2,32,4,55,-2.3978952727983707,-2.4159137783010487,
9,10,21,37,-0.0953101798043249,-0.5465437063680699,
4,8,4,19,-0.587786664902119,-1.3862943611198906,
2,4,3,5,-0.5108256237659907,-0.40546510810816444,
8,1,13,3,1.5040773967762742,1.252762968495368,
14,7,31,6,0.6286086594223741,1.519825753744413,
16,11,13,23,0.3483066942682158,-0.5389965007326869,
7,10,2,9,-0.3184537311185346,-1.2039728043259361,
19,1,29,1,2.302585092994046,2.70805020110221,
6,4,11,0,0.3364722366212129,2.4849066497880004,
13,3,32,16,1.252762968495368,0.6632942174102642,
3,5,2,7,-0.40546510810816444,-0.9808292530117262,
5,9,7,16,-0.5108256237659907,-0.7537718023763802,
6,5,4,5,0.15415067982725836,-0.1823215567939546,
9,0,34,3,2.302585092994046,2.169053700369523,
0,5,1,9,-1.791759469228055,-1.6094379124341003,
13,14,32,14,-0.06899287148695143,0.7884573603642703,
13,0,20,4,2.6390573296152584,1.4350845252893227,
13,1,23,2,1.9459101490553132,2.0794415416798357,
10,13,7,17,-0.2411620568168881,-0.8109302162163288,
6,5,19,10,0.15415067982725836,0.5978370007556204,
27,0,25,1,3.332204510175204,2.5649493574615367,
7,12,13,17,-0.48550781578170077,-0.25131442828090605,
12,7,12,13,0.4855078157817008,-0.07410797215372185,
0,5,3,8,-1.791759469228055,-0.8109302162163288,
22,14,33,18,0.42744401482693967,0.581921545449721,
0,16,0,21,-2.833213344056216,-3.0910424533583156,
0,17,10,36,-2.890371757896165,-1.213022639845854,
11,2,17,2,1.3862943611198906,1.791759469228055,
16,21,27,34,-0.2578291093020998,-0.2231435513142097,
5,13,2,22,-0.8472978603872037,-2.03688192726104,
20,4,11,6,1.4350845252893227,0.5389965007326869,
0,6,0,4,-1.9459101490553135,-1.6094379124341003,
14,3,25,9,1.3217558399823195,0.9555114450274363,
7,14,6,18,-0.6286086594223742,-0.9985288301111273,
10,10,15,25,0.0,-0.48550781578170077,
16,12,19,11,0.26826398659467937,0.5108256237659907,
4,13,14,11,-1.0296194171811581,0.22314355131420976,
0,11,0,11,-2.4849066497880004,-2.4849066497880004,
40,1,67,0,3.0204248861443626,4.219507705176107,
2,9,2,9,-1.2039728043259361,-1.2039728043259361,
12,6,29,13,0.6190392084062235,0.7621400520468967,
1,9,4,7,-1.6094379124341003,-0.4700036292457356,
1,2,7,5,-0.40546510810816444,0.28768207245178085,
12,2,28,7,1.466337068793427,1.2878542883066382,
1,11,2,18,-1.791759469228055,-1.845826690498331,
0,4,6,9,-1.6094379124341003,-0.35667494393873245,
9,1,14,7,1.6094379124341003,0.6286086594223741,
6,7,15,7,-0.13353139262452263,0.6931471805599453,
6,7,9,9,-0.13353139262452263,0.0,
8,4,11,17,0.5877866649021191,-0.40546510810816444,
21,8,43,18,0.8938178760220965,0.8397506547518208,
27,0,51,1,3.332204510175204,3.258096538021482,
16,3,35,8,1.4469189829363254,1.3862943611198906,
5,9,3,35,-0.5108256237659907,-2.1972245773362196,
