I_t,I_c,R_t,R_c,log_ratios_infect,log_ratios_recover,
12,18,13,22,-0.3794896217049037,-0.496436886313891,
4,103,5,191,-3.0349529867072724,-3.4657359027997265,
0,45,1,70,-3.828641396489095,-3.56953269648137,
12,60,17,113,-1.5459245067117746,-1.845826690498331,
0,15,5,29,-2.772588722239781,-1.6094379124341003,
1,45,3,42,-3.1354942159291497,-2.374905754573672,
21,101,30,164,-1.5339303599259553,-1.6719582694154345,
2,3,6,23,-0.2876820724517809,-1.2321436812926323,
0,45,3,41,-3.828641396489095,-2.3513752571634776,
8,82,12,98,-2.2216160304603787,-2.030170492673053,
2,6,8,7,-0.8472978603872037,0.11778303565638346,
1,128,5,179,-4.1666652238017265,-3.4011973816621555,
5,18,8,14,-1.1526795099383855,-0.5108256237659907,
3,32,12,41,-2.1102132003465894,-1.1727202608218315,
2,39,2,31,-2.5902671654458267,-2.367123614131617,
5,85,7,110,-2.662587827025453,-2.630088659632498,
1,33,2,36,-2.833213344056216,-2.512305623976115,
2,75,6,124,-3.2321210516182215,-2.8824035882469876,
0,24,0,24,-3.2188758248682006,-3.2188758248682006,
0,3,3,6,-1.3862943611198906,-0.5596157879354228,
0,59,2,105,-4.0943445622221,-3.5648268054439574,
2,48,7,77,-2.793208009442517,-2.277267285009756,
1,47,2,39,-3.1780538303479458,-2.5902671654458267,
2,4,3,13,-0.5108256237659907,-1.252762968495368,
0,33,4,61,-3.5263605246161616,-2.517696472610991,
7,71,4,67,-2.1972245773362196,-2.6100697927420065,
1,132,0,206,-4.197201947661808,-5.332718793265369,
6,11,18,10,-0.5389965007326869,0.5465437063680699,
0,80,1,140,-4.394449154672439,-4.255612709818223,
0,13,0,20,-2.639057329615259,-3.044522437723423,
6,68,14,99,-2.2881963555419462,-1.8971199848858813,
1,52,0,70,-3.2771447329921766,-4.2626798770413155,
2,9,2,24,-1.2039728043259361,-2.120263536200091,
2,11,8,17,-1.3862943611198906,-0.6931471805599453,
6,32,3,31,-1.550597412411167,-2.0794415416798357,
0,19,2,20,-2.995732273553991,-1.9459101490553135,
2,16,1,23,-1.7346010553881064,-2.4849066497880004,
1,47,5,80,-3.1780538303479458,-2.6026896854443837,
6,18,7,38,-0.9985288301111273,-1.5841201044498106,
2,1,3,2,0.4054651081081644,0.28768207245178085,
2,0,2,4,1.0986122886681098,-0.5108256237659907,
5,16,3,24,-1.041453874828161,-1.8325814637483102,
1,56,9,76,-3.349904087274605,-2.0412203288596382,
7,110,10,143,-2.630088659632498,-2.57191802677763,
6,42,8,59,-1.8152899666382492,-1.8971199848858813,
2,36,5,48,-2.512305623976115,-2.1000608288825715,
0,29,6,43,-3.4011973816621555,-1.8382794848629478,
1,17,7,24,-2.1972245773362196,-1.1394342831883648,
3,53,1,61,-2.6026896854443837,-3.4339872044851463,
2,50,4,44,-2.833213344056216,-2.1972245773362196,
2,49,5,65,-2.8134107167600364,-2.3978952727983707,
1,40,2,62,-3.0204248861443626,-3.044522437723423,
0,9,1,13,-2.3025850929940455,-1.9459101490553135,
1,11,2,6,-1.791759469228055,-0.8472978603872037,
4,5,8,13,-0.1823215567939546,-0.4418327522790392,
2,96,8,101,-3.4760986898352733,-2.4277482359480516,
0,32,2,58,-3.4965075614664802,-2.9789251552376097,
2,7,1,16,-0.9808292530117262,-2.1400661634962708,
1,47,2,35,-3.1780538303479458,-2.4849066497880004,
1,49,9,86,-3.2188758248682006,-2.1633230256605382,
2,62,1,92,-3.044522437723423,-3.8394523125933104,
0,72,0,102,-4.290459441148391,-4.634728988229636,
2,13,3,17,-1.540445040947149,-1.5040773967762742,
2,5,7,10,-0.6931471805599453,-0.3184537311185346,
5,47,8,66,-2.0794415416798357,-2.0074680420547466,
3,45,10,56,-2.4423470353692043,-1.6451559950361796,
3,33,4,31,-2.1400661634962708,-1.8562979903656263,
0,29,4,44,-3.4011973816621555,-2.1972245773362196,
0,28,2,17,-3.367295829986474,-1.791759469228055,
0,34,2,61,-3.5553480614894135,-3.028522096376982,
2,16,5,11,-1.7346010553881064,-0.6931471805599453,
4,21,8,17,-1.4816045409242156,-0.6931471805599453,
0,24,5,49,-3.2188758248682006,-2.120263536200091,
0,4,2,6,-1.6094379124341003,-0.8472978603872037,
3,13,9,29,-1.252762968495368,-1.0986122886681098,
3,33,11,34,-2.1400661634962708,-1.0704414117014134,
3,18,7,18,-1.55814461804655,-0.8649974374866046,
1,11,4,9,-1.791759469228055,-0.6931471805599453,
10,3,9,4,1.0116009116784799,0.6931471805599453,
1,27,3,25,-2.639057329615259,-1.8718021769015913,
12,24,8,38,-0.6539264674066639,-1.466337068793427,
3,29,17,65,-2.0149030205422647,-1.2992829841302609,
1,62,3,73,-3.4499875458315876,-2.917770732084279,
3,22,2,35,-1.749199854809259,-2.4849066497880004,
0,28,8,49,-3.367295829986474,-1.7147984280919266,
4,33,5,45,-1.916922612182061,-2.03688192726104,
1,39,3,55,-2.995732273553991,-2.639057329615259,
1,12,5,18,-1.8718021769015913,-1.1526795099383855,
6,26,7,33,-1.349926716949016,-1.4469189829363254,
9,33,7,74,-1.2237754316221157,-2.2380465718564744,
2,34,3,86,-2.456735772821304,-3.079613757534693,
2,47,1,57,-2.772588722239781,-3.367295829986474,
5,1,13,6,1.0986122886681098,0.6931471805599453,
0,82,5,99,-4.418840607796598,-2.8134107167600364,
1,3,10,8,-0.6931471805599453,0.20067069546215124,
1,48,3,79,-3.1986731175506815,-2.995732273553991,
3,7,14,16,-0.6931471805599453,-0.12516314295400605,
9,39,6,41,-1.3862943611198906,-1.791759469228055,
1,42,2,54,-3.068052935133617,-2.908720896564361,
1,52,2,92,-3.2771447329921766,-3.4339872044851463,
14,50,13,79,-1.2237754316221157,-1.742969305058623,
0,21,6,15,-3.0910424533583156,-0.8266785731844679,
1,5,0,12,-1.0986122886681098,-2.5649493574615367,
5,50,9,96,-2.1400661634962708,-2.2721258855093374,
6,4,17,11,0.3364722366212129,0.4054651081081644,
0,5,0,5,-1.791759469228055,-1.791759469228055,
1,18,2,20,-2.2512917986064953,-1.9459101490553135,
7,94,12,133,-2.474435349920705,-2.332890442489375,
3,11,3,20,-1.0986122886681098,-1.6582280766035324,
1,10,2,14,-1.7047480922384253,-1.6094379124341003,
2,56,4,74,-2.9444389791664407,-2.70805020110221,
1,5,1,19,-1.0986122886681098,-2.3025850929940455,
13,55,28,103,-1.3862943611198906,-1.2770950691548986,
1,37,0,54,-2.9444389791664407,-4.007333185232471,
5,74,11,86,-2.5257286443082556,-1.9810014688665833,
2,24,7,29,-2.120263536200091,-1.3217558399823195,
0,25,4,39,-3.258096538021482,-2.0794415416798357,
4,22,12,21,-1.5260563034950494,-0.5260930958967791,
0,134,0,187,-4.90527477843843,-5.236441962829949,
0,30,1,47,-3.4339872044851463,-3.1780538303479458,
1,9,2,9,-1.6094379124341003,-1.2039728043259361,
2,4,10,5,-0.5108256237659907,0.6061358035703155,
3,53,5,61,-2.6026896854443837,-2.3353749158170367,
8,32,8,50,-1.2992829841302609,-1.7346010553881064,
3,39,5,51,-2.3025850929940455,-2.159484249353372,
4,54,10,68,-2.3978952727983707,-1.836211231798889,
0,61,0,75,-4.127134385045092,-4.330733340286331,
5,4,18,4,0.1823215567939546,1.33500106673234,
1,9,5,17,-1.6094379124341003,-1.0986122886681098,
1,45,7,67,-3.1354942159291497,-2.1400661634962708,
1,2,4,6,-0.40546510810816444,-0.3364722366212129,
1,13,0,7,-1.9459101490553135,-2.0794415416798357,
0,25,3,39,-3.258096538021482,-2.3025850929940455,
0,8,2,19,-2.1972245773362196,-1.8971199848858813,
0,47,1,75,-3.871201010907891,-3.6375861597263857,
3,67,9,88,-2.833213344056216,-2.186051276738094,
2,35,8,35,-2.4849066497880004,-1.3862943611198906,
0,61,1,105,-4.127134385045092,-3.970291913552122,
0,116,3,199,-4.762173934797756,-3.912023005428146,
8,56,12,58,-1.845826690498331,-1.5125880864441827,
0,34,2,34,-3.5553480614894135,-2.456735772821304,
1,63,4,82,-3.4657359027997265,-2.8094026953624978,
1,83,4,141,-3.7376696182833684,-3.3463891451671604,
2,33,5,40,-2.4277482359480516,-1.9218125974762528,
0,37,1,34,-3.6375861597263857,-2.8622008809294686,
2,45,5,63,-2.7300291078209855,-2.367123614131617,
4,36,4,67,-2.001480000210124,-2.6100697927420065,
5,27,5,14,-1.540445040947149,-0.916290731874155,
2,18,0,29,-1.845826690498331,-3.4011973816621555,
1,4,0,9,-0.916290731874155,-2.3025850929940455,
4,15,4,7,-1.1631508098056809,-0.4700036292457356,
1,11,18,16,-1.791759469228055,0.1112256351102244,
2,61,0,81,-3.028522096376982,-4.406719247264253,
1,5,2,12,-1.0986122886681098,-1.466337068793427,
5,46,3,63,-2.0583881324820035,-2.772588722239781,
8,21,26,18,-0.8938178760220964,0.3513978868378886,
3,72,12,114,-2.9041650800285006,-2.1799827709017134,
0,33,0,60,-3.5263605246161616,-4.110873864173311,
0,24,2,34,-3.2188758248682006,-2.456735772821304,
0,43,1,51,-3.784189633918261,-3.258096538021482,
1,6,6,12,-1.252762968495368,-0.6190392084062235,
4,56,5,60,-2.4336133554004498,-2.3191143949452564,
6,23,11,13,-1.2321436812926323,-0.15415067982725836,
0,64,3,98,-4.174387269895637,-3.2088254890146994,
4,20,7,24,-1.4350845252893227,-1.1394342831883648,
2,68,2,71,-3.1354942159291497,-3.1780538303479458,
1,40,1,68,-3.0204248861443626,-3.5409593240373143,
1,29,2,32,-2.70805020110221,-2.3978952727983707,
5,99,8,155,-2.8134107167600364,-2.8526314299133175,
7,59,16,86,-2.0149030205422647,-1.6326947745983675,
8,35,12,51,-1.3862943611198906,-1.3862943611198906,
1,9,2,23,-1.6094379124341003,-2.0794415416798357,
5,11,7,19,-0.6931471805599453,-0.916290731874155,
4,88,3,152,-2.8791984572980396,-3.644143560272545,
4,2,11,4,0.5108256237659907,0.8754687373538999,
1,20,0,28,-2.3513752571634776,-3.367295829986474,
1,111,1,159,-4.02535169073515,-4.382026634673881,
2,43,2,49,-2.6855773452501515,-2.8134107167600364,
4,5,10,8,-0.1823215567939546,0.20067069546215124,
4,11,13,23,-0.8754687373538999,-0.5389965007326869,
8,3,28,6,0.8109302162163288,1.421385680931161,
1,69,2,111,-3.5553480614894135,-3.619886582626985,
0,61,0,80,-4.127134385045092,-4.394449154672439,
