I_t,I_c,R_t,R_c,log_ratios_infect,log_ratios_recover,
49,34,64,38,0.3566749439387324,0.5108256237659907,
106,3,149,10,3.2865344733420154,2.6127400212978853,
118,70,188,91,0.5164436160702139,0.7199584380106021,
33,26,38,24,0.23052365861183235,0.44468582126144574,
61,55,71,86,0.10178269430994238,-0.18924199963852842,
42,51,60,57,-0.19004360288786498,0.050430853626891904,
24,48,14,69,-0.6729444732424258,-1.540445040947149,
31,7,48,7,1.3862943611198906,1.8123787564307907,
72,27,117,29,0.9582549309731873,1.3694872428035094,
48,58,64,57,-0.18571714579509283,0.11394425934921769,
83,2,123,7,3.332204510175204,2.740840023925201,
61,17,77,36,1.236762627148927,0.7457909140453672,
18,32,21,63,-0.5520685823000397,-1.067840630001356,
54,37,79,49,0.3697470255060852,0.47000362924573563,
0,52,1,58,-3.970291913552122,-3.3843902633457743,
27,64,49,88,-0.8421827597204331,-0.5766133643039937,
21,38,16,52,-0.5725191927713306,-1.1370785694959058,
10,53,14,91,-1.5910887737659039,-1.8137383759468302,
5,7,9,9,-0.2876820724517809,0.0,
85,81,131,126,0.047628048989254664,0.038614836127779516,
18,9,12,10,0.6418538861723947,0.16705408466316624,
16,6,17,8,0.8873031950009027,0.6931471805599453,
2,30,5,52,-2.3353749158170367,-2.178532444324067,
11,44,20,43,-1.3217558399823195,-0.7396671961948381,
71,12,99,14,1.7117167615545186,1.8971199848858813,
13,56,7,76,-1.4039939382192916,-2.264363880173848,
9,92,13,95,-2.2300144001592104,-1.9252908618525775,
15,74,25,90,-1.5448993912965292,-1.252762968495368,
4,14,6,18,-1.0986122886681098,-0.9985288301111273,
14,59,12,87,-1.3862943611198906,-1.9123874570166697,
12,10,17,15,0.16705408466316624,0.11778303565638346,
35,5,26,5,1.791759469228055,1.5040773967762742,
31,22,32,45,0.3302416868705768,-0.3321338350226148,
17,42,17,60,-0.8708283577973976,-1.2205021062771466,
3,59,6,101,-2.70805020110221,-2.6790626642289577,
51,33,75,38,0.4248831939652659,0.6671716941566846,
32,58,28,76,-0.5810298824392393,-0.9765095918672098,
31,25,53,25,0.20763936477824455,0.7308875085427924,
7,38,7,60,-1.5841201044498106,-2.031432322493475,
40,20,37,36,0.6690496289808848,0.026668247082161273,
44,33,63,56,0.28030196515415834,0.11583181552512165,
18,39,20,37,-0.7444404749474959,-0.5930637220029626,
59,21,67,19,1.0033021088637848,1.2237754316221157,
67,0,79,4,4.219507705176107,2.772588722239781,
57,54,70,137,0.05310982531394833,-0.6645738081158894,
10,9,9,11,0.09531017980432493,-0.1823215567939546,
4,70,8,107,-2.653241964607215,-2.4849066497880004,
30,27,38,23,0.10178269430994238,0.4855078157817008,
0,5,2,8,-1.791759469228055,-1.0986122886681098,
22,14,49,20,0.42744401482693967,0.8675005677047231,
32,29,29,58,0.09531017980432493,-0.6763400622435641,
12,38,24,39,-1.0986122886681098,-0.4700036292457356,
3,51,3,65,-2.5649493574615367,-2.803360380906535,
6,10,20,5,-0.45198512374305727,1.252762968495368,
28,42,23,66,-0.3939042857070884,-1.0266387890430204,
35,13,31,15,0.9444616088408515,0.6931471805599453,
22,37,26,76,-0.5020919437972361,-1.0479685558493548,
57,13,106,12,1.421385680931161,2.1078794770003695,
33,68,32,71,-0.7077459799810979,-0.7801585575495751,
13,14,20,18,-0.06899287148695143,0.10008345855698263,
71,36,81,48,0.665748206371831,0.5148989491536266,
49,81,75,124,-0.49469624183610705,-0.49758039701597007,
106,39,148,44,0.9839493803479697,1.1972838161751393,
40,37,63,71,0.07598590697792205,-0.11778303565638351,
42,14,47,19,1.0531499145913523,0.8754687373538999,
13,22,10,51,-0.496436886313891,-1.5533484457830569,
39,31,59,60,0.22314355131420976,-0.016529301951210582,
10,67,20,103,-1.821612432377736,-1.5998684614179497,
34,21,56,23,0.4643056081310978,0.8649974374866045,
79,13,126,19,1.742969305058623,1.8484548129046001,
