I_t,I_c,R_t,R_c,log_ratios_infect,log_ratios_recover,
7,34,16,65,-1.4759065198095778,-1.3564413979702095,
11,41,30,68,-1.252762968495368,-0.8001193001121132,
10,13,23,18,-0.2411620568168881,0.2336148511815051,
4,30,13,50,-1.824549292051046,-1.292768303109067,
11,30,16,52,-0.9490805546971459,-1.1370785694959058,
11,14,20,22,-0.2231435513142097,-0.09097177820572676,
12,47,29,64,-1.3062516534463542,-0.7731898882334817,
8,48,13,66,-1.6945957207744071,-1.5656352897757075,
12,26,25,49,-0.7308875085427924,-0.6539264674066639,
3,11,4,16,-1.0986122886681098,-1.2237754316221157,
13,23,12,53,-0.5389965007326869,-1.4240346891027378,
10,29,22,58,-1.0033021088637848,-0.9420432279765697,
7,25,13,54,-1.1786549963416462,-1.3682758556172123,
9,24,14,31,-0.916290731874155,-0.7576857016975165,
3,40,11,92,-2.327277705584417,-2.0476928433652555,
8,23,19,28,-0.9808292530117262,-0.37156355643248296,
4,18,13,26,-1.3350010667323402,-0.6567795363890705,
9,18,20,38,-0.6418538861723948,-0.6190392084062235,
7,12,18,23,-0.48550781578170077,-0.2336148511815052,
10,22,18,34,-0.7375989431307791,-0.6109090823229733,
12,25,29,50,-0.6931471805599453,-0.5306282510621704,
5,23,19,35,-1.3862943611198906,-0.587786664902119,
13,63,21,82,-1.5198257537444133,-1.327798154438282,
9,23,19,30,-0.8754687373538999,-0.4382549309311553,
14,16,18,32,-0.12516314295400605,-0.5520685823000397,
10,28,30,71,-0.9694005571881036,-0.842678914530909,
12,24,16,26,-0.6539264674066639,-0.46262352194811296,
15,29,16,73,-0.6286086594223742,-1.4708517491479536,
14,29,15,60,-0.6931471805599453,-1.33828514193353,
6,27,28,56,-1.3862943611198906,-0.6757554378480761,
4,45,13,81,-2.2192034840549946,-1.7676619176489945,
7,30,22,35,-1.3545456628053103,-0.4480247225269604,
12,26,22,55,-0.7308875085427924,-0.8898574748059995,
6,36,10,77,-1.6650077635889111,-1.9588135538912212,
15,39,11,85,-0.916290731874155,-1.9694406464655074,
10,38,24,54,-1.2656663733312759,-0.7884573603642702,
9,34,15,70,-1.252762968495368,-1.490091154801534,
2,22,16,40,-2.03688192726104,-0.8803587226480918,
7,31,16,52,-1.3862943611198906,-1.1370785694959058,
6,41,8,60,-1.791759469228055,-1.9136492868370918,
9,26,17,40,-0.9932517730102834,-0.8232003088081431,
0,25,13,54,-3.258096538021482,-1.3682758556172123,
8,29,20,48,-1.2039728043259361,-0.8472978603872037,
3,35,9,54,-2.1972245773362196,-1.7047480922384253,
6,30,16,41,-1.488077055429833,-0.9044562742271522,
6,31,13,58,-1.5198257537444133,-1.4384801142904609,
10,36,11,85,-1.213022639845854,-1.9694406464655074,
12,14,12,47,-0.1431008436406733,-1.3062516534463542,
7,33,11,79,-1.4469189829363254,-1.8971199848858813,
3,15,2,29,-1.3862943611198906,-2.3025850929940455,
10,34,9,61,-1.157452788691043,-1.824549292051046,
8,26,21,66,-1.0986122886681098,-1.11365016603265,
9,27,19,50,-1.0296194171811581,-0.9360933591703348,
18,36,14,52,-0.6664789334777841,-1.262241712449912,
2,19,7,57,-1.8971199848858813,-1.9810014688665833,
8,34,21,46,-1.3581234841531944,-0.7591051483517427,
5,48,6,65,-2.1000608288825715,-2.243744592971112,
5,17,12,33,-1.0986122886681098,-0.9614111671546247,
4,27,13,32,-1.7227665977411035,-0.8574502318512216,
13,29,17,62,-0.7621400520468967,-1.252762968495368,
16,16,16,29,0.0,-0.5679840376059393,
12,26,17,37,-0.7308875085427924,-0.7472144018302211,
6,34,16,58,-1.6094379124341003,-1.2443240998495033,
2,32,19,64,-2.3978952727983707,-1.1786549963416462,
7,51,15,86,-1.8718021769015913,-1.6933193964148026,
4,34,5,53,-1.9459101490553135,-2.1972245773362196,
12,23,28,31,-0.6131044728864089,-0.09844007281325252,
15,37,18,59,-0.8649974374866046,-1.1499055830556604,
3,24,8,48,-1.8325814637483102,-1.6945957207744071,
8,30,27,56,-1.2367626271489267,-0.7108467576593462,
10,21,15,40,-0.6931471805599453,-0.9409833444645266,
8,27,15,50,-1.1349799328389845,-1.1592369104845446,
4,28,12,30,-1.7578579175523736,-0.8690378470236094,
6,32,35,60,-1.550597412411167,-0.5273549257172012,
17,21,19,26,-0.2006706954621511,-0.30010459245033816,
4,33,6,67,-1.916922612182061,-2.2735975561207935,
9,47,16,67,-1.5686159179138452,-1.3862943611198906,
4,24,7,65,-1.6094379124341003,-2.1102132003465894,
7,23,19,49,-1.0986122886681098,-0.916290731874155,
8,11,29,29,-0.2876820724517809,0.0,
3,36,15,67,-2.2246235515243336,-1.4469189829363254,
5,24,9,43,-1.4271163556401458,-1.4816045409242156,
8,17,12,23,-0.6931471805599453,-0.6131044728864089,
3,27,8,64,-1.9459101490553135,-1.9771626925594177,
8,19,24,41,-0.7985076962177716,-0.5187937934151675,
14,21,19,27,-0.38299225225610584,-0.3364722366212129,
1,21,4,29,-2.3978952727983707,-1.791759469228055,
1,17,7,30,-2.1972245773362196,-1.3545456628053103,
9,35,10,65,-1.2809338454620642,-1.791759469228055,
8,15,20,26,-0.5753641449035618,-0.25131442828090605,
19,27,37,48,-0.3364722366212129,-0.25423413838424086,
6,18,18,51,-0.9985288301111273,-1.006804739414987,
7,32,22,61,-1.4170660197866443,-0.9916401691159419,
12,33,14,71,-0.9614111671546247,-1.5686159179138452,
11,26,22,62,-0.8109302162163288,-1.0076405104623831,
9,24,15,35,-0.916290731874155,-0.8109302162163288,
9,14,15,28,-0.40546510810816444,-0.5947071077466928,
15,24,26,31,-0.4462871026284195,-0.16989903679539747,
5,35,6,42,-1.791759469228055,-1.8152899666382492,
26,38,42,79,-0.3677247801253174,-0.6208265189803193,
6,19,13,26,-1.0498221244986778,-0.6567795363890705,
5,22,5,44,-1.3437347467010947,-2.0149030205422647,
12,31,23,51,-0.9007865453381898,-0.7731898882334817,
4,31,10,49,-1.8562979903656263,-1.5141277326297755,
13,39,21,61,-1.0498221244986778,-1.0360919316867756,
8,25,13,48,-1.0608719606852628,-1.252762968495368,
7,45,11,64,-1.749199854809259,-1.6894806201076367,
13,21,19,45,-0.45198512374305727,-0.832909122935104,
8,25,35,41,-1.0608719606852628,-0.15415067982725836,
13,14,35,23,-0.06899287148695143,0.4054651081081644,
7,16,12,34,-0.7537718023763802,-0.9903987040278769,
16,31,14,48,-0.6325225587435105,-1.1837700970084166,
8,28,10,43,-1.1700712526502546,-1.3862943611198906,
4,33,5,74,-1.916922612182061,-2.5257286443082556,
10,19,10,22,-0.5978370007556204,-0.7375989431307791,
3,34,10,67,-2.169053700369523,-1.821612432377736,
3,37,14,60,-2.2512917986064953,-1.4028236630711013,
15,17,12,23,-0.11778303565638351,-0.6131044728864089,
3,40,12,67,-2.327277705584417,-1.65455834771457,
7,37,20,60,-1.55814461804655,-1.0663514264498883,
6,20,20,50,-1.0986122886681098,-0.8873031950009028,
8,34,15,49,-1.3581234841531944,-1.1394342831883648,
