I_t,I_c,R_t,R_c,log_ratios_infect,log_ratios_recover,
5,24,14,51,-1.4271163556401458,-1.2431935174792175,
11,31,29,72,-0.9808292530117262,-0.8892620594862358,
7,27,9,49,-1.252762968495368,-1.6094379124341003,
4,39,9,50,-2.0794415416798357,-1.62924053973028,
10,65,12,102,-1.791759469228055,-2.069779630768099,
6,47,16,79,-1.9252908618525775,-1.5488132906176655,
4,10,12,13,-0.7884573603642702,-0.07410797215372185,
14,24,28,39,-0.5108256237659907,-0.32158362412746233,
8,22,13,48,-0.9382696385929302,-1.252762968495368,
12,32,21,66,-0.9315582040049435,-1.11365016603265,
17,33,28,53,-0.6359887667199967,-0.6216882165778003,
8,30,31,63,-1.2367626271489267,-0.6931471805599453,
13,25,29,48,-0.6190392084062235,-0.4906229164484712,
7,25,13,40,-1.1786549963416462,-1.074514737089049,
8,38,18,52,-1.466337068793427,-1.0258529343856815,
11,17,32,41,-0.40546510810816444,-0.2411620568168881,
9,31,13,40,-1.1631508098056809,-1.074514737089049,
8,62,19,86,-1.9459101490553135,-1.4701758451005928,
10,17,27,56,-0.49247648509779407,-0.7108467576593462,
3,30,15,66,-2.0476928433652555,-1.4321038971511848,
2,16,6,23,-1.7346010553881064,-1.2321436812926323,
9,26,28,44,-0.9932517730102834,-0.43936665978384565,
5,41,10,51,-1.9459101490553135,-1.5533484457830569,
15,22,27,51,-0.3629054936893685,-0.6190392084062235,
16,6,43,14,0.8873031950009027,1.076139432816051,
11,26,21,57,-0.8109302162163288,-0.9694005571881036,
13,18,20,27,-0.3053816495511819,-0.2876820724517809,
10,26,20,42,-0.8979415932059586,-0.7166776779701395,
18,26,29,48,-0.3513978868378886,-0.4906229164484712,
6,21,10,27,-1.1451323043030026,-0.9343092373768334,
4,59,21,73,-2.4849066497880004,-1.213022639845854,
7,39,7,70,-1.6094379124341003,-2.1832383353614793,
3,35,10,60,-2.1972245773362196,-1.7129785913749407,
6,32,15,52,-1.550597412411167,-1.1977031913123406,
5,17,9,49,-1.0986122886681098,-1.6094379124341003,
2,28,5,38,-2.268683541318364,-1.8718021769015913,
2,19,19,37,-1.8971199848858813,-0.6418538861723948,
11,26,27,34,-0.8109302162163288,-0.2231435513142097,
5,23,13,46,-1.3862943611198906,-1.2110902720948,
8,19,14,38,-0.7985076962177716,-0.9555114450274363,
15,22,28,35,-0.3629054936893685,-0.21622310846963594,
8,35,12,76,-1.3862943611198906,-1.7788560643921472,
12,26,10,38,-0.7308875085427924,-1.2656663733312759,
10,28,18,34,-0.9694005571881036,-0.6109090823229733,
13,25,28,40,-0.6190392084062235,-0.3462762367178338,
6,24,15,51,-1.2729656758128873,-1.1786549963416462,
15,21,32,50,-0.3184537311185346,-0.4353180712578455,
4,31,10,61,-1.8562979903656263,-1.729239112246721,
7,17,15,36,-0.8109302162163288,-0.8383291904044432,
4,38,20,56,-2.0541237336955462,-0.9985288301111273,
5,16,6,38,-1.041453874828161,-1.717651497074333,
6,8,12,18,-0.25131442828090605,-0.3794896217049037,
9,23,17,49,-0.8754687373538999,-1.0216512475319814,
10,23,19,60,-0.7801585575495751,-1.1151415906193203,
7,22,16,48,-1.0560526742493137,-1.0586069540544105,
14,25,23,34,-0.5500463369192721,-0.37729423114146804,
15,28,31,63,-0.5947071077466928,-0.6931471805599453,
8,29,10,47,-1.2039728043259361,-1.4733057381095205,
11,41,19,63,-1.252762968495368,-1.1631508098056809,
17,38,25,58,-0.7731898882334817,-0.8194409058842375,
4,28,4,61,-1.7578579175523736,-2.517696472610991,
2,29,13,43,-2.3025850929940455,-1.1451323043030026,
4,27,11,70,-1.7227665977411035,-1.777773227253315,
8,21,11,44,-0.8938178760220964,-1.3217558399823195,
8,34,16,54,-1.3581234841531944,-1.1741198411762548,
2,19,7,33,-1.8971199848858813,-1.4469189829363254,
7,32,12,59,-1.4170660197866443,-1.529395204760564,
6,26,20,55,-1.349926716949016,-0.9808292530117262,
4,25,5,39,-1.6486586255873816,-1.8971199848858813,
11,9,12,22,0.1823215567939546,-0.570544858467613,
11,33,28,57,-1.041453874828161,-0.6931471805599453,
9,27,23,59,-1.0296194171811581,-0.916290731874155,
12,21,13,34,-0.5260930958967791,-0.916290731874155,
11,19,19,33,-0.5108256237659907,-0.5306282510621704,
9,29,14,50,-1.0986122886681098,-1.2237754316221157,
3,23,8,39,-1.791759469228055,-1.491654876777717,
6,48,22,90,-1.9459101490553135,-1.3753652905877003,
8,21,16,32,-0.8938178760220964,-0.6632942174102642,
4,28,10,50,-1.7578579175523736,-1.5339303599259553,
3,16,19,25,-1.4469189829363254,-0.262364264467491,
6,42,11,61,-1.8152899666382492,-1.6422277352570913,
5,17,15,40,-1.0986122886681098,-0.9409833444645266,
9,27,19,44,-1.0296194171811581,-0.8109302162163288,
4,14,9,20,-1.0986122886681098,-0.7419373447293773,
9,34,27,38,-1.252762968495368,-0.3313571359544425,
5,35,8,54,-1.791759469228055,-1.8101086078962516,
6,11,25,19,-0.5389965007326869,0.26236426446749106,
14,34,28,54,-0.8472978603872037,-0.640037355245997,
2,5,4,18,-0.6931471805599453,-1.3350010667323402,
13,19,14,44,-0.35667494393873245,-1.0986122886681098,
13,23,9,30,-0.5389965007326869,-1.1314021114911006,
1,7,8,16,-1.3862943611198906,-0.6359887667199967,
9,25,16,44,-0.9555114450274363,-0.9734491457141037,
4,34,13,58,-1.9459101490553135,-1.4384801142904609,
16,18,24,48,-0.11122563511022437,-0.6729444732424258,
15,33,19,67,-0.7537718023763802,-1.2237754316221157,
4,22,9,32,-1.5260563034950494,-1.1939224684724346,
6,35,2,68,-1.6376087894007967,-3.1354942159291497,
7,9,9,28,-0.2231435513142097,-1.0647107369924282,
1,45,6,65,-3.1354942159291497,-2.243744592971112,
12,29,28,58,-0.8362480242006186,-0.7102416139192453,
22,24,18,38,-0.08338160893905101,-0.719122666963206,
7,43,19,73,-1.7047480922384253,-1.3083328196501787,
4,19,16,31,-1.3862943611198906,-0.6325225587435105,
8,18,32,30,-0.7472144018302211,0.06252035698133393,
11,38,9,73,-1.1786549963416462,-2.001480000210124,
6,23,16,55,-1.2321436812926323,-1.1921383466789333,
11,30,16,61,-0.9490805546971459,-1.2939210409888755,
10,24,20,33,-0.8209805520698302,-0.4818380868927383,
5,33,13,74,-1.7346010553881064,-1.6784307839210517,
13,44,22,64,-1.1676051601550612,-1.0388930539664873,
7,26,12,46,-1.2163953243244932,-1.285198244248522,
7,32,12,82,-1.4170660197866443,-1.853891250335061,
16,25,29,60,-0.42488319396526597,-0.7096764825111559,
9,20,12,31,-0.7419373447293773,-0.9007865453381898,
5,29,25,47,-1.6094379124341003,-0.6131044728864089,
10,28,19,59,-0.9694005571881036,-1.0986122886681098,
5,27,12,53,-1.540445040947149,-1.4240346891027378,
12,24,11,45,-0.6539264674066639,-1.3437347467010947,
7,13,10,27,-0.5596157879354228,-0.9343092373768334,
7,26,11,59,-1.2163953243244932,-1.6094379124341003,
8,32,15,51,-1.2992829841302609,-1.1786549963416462,
9,29,19,44,-1.0986122886681098,-0.8109302162163288,
4,20,17,55,-1.4350845252893227,-1.1349799328389845,
12,31,23,44,-0.9007865453381898,-0.6286086594223742,
6,29,22,74,-1.455287232606842,-1.181993897607161,
12,17,21,48,-0.325422400434628,-0.8007778447523107,
8,22,14,46,-0.9382696385929302,-1.1420974006078484,
13,15,24,25,-0.13353139262452263,-0.03922071315328127,
3,18,5,28,-1.55814461804655,-1.575536360758419,
5,22,21,52,-1.3437347467010947,-0.8792494601938059,
8,11,21,22,-0.2876820724517809,-0.04445176257083381,
12,39,15,46,-1.1239300966523995,-1.0775588794702773,
8,29,9,51,-1.2039728043259361,-1.6486586255873816,
16,15,15,34,0.06062462181643484,-0.7827593392496325,
13,29,27,47,-0.7621400520468967,-0.5389965007326869,
3,51,11,64,-2.5649493574615367,-1.6894806201076367,
4,48,2,56,-2.2823823856765264,-2.9444389791664407,
16,30,24,46,-0.6007738604289302,-0.6312717768418579,
9,31,12,52,-1.1631508098056809,-1.405342556090585,
4,34,11,78,-1.9459101490553135,-1.8845412026790211,
6,33,11,87,-1.580450375560848,-1.9924301646902063,
7,40,8,68,-1.6341305250244718,-2.03688192726104,
10,35,23,49,-1.1856236656577395,-0.7339691750802004,
4,43,10,60,-2.174751721484161,-1.7129785913749407,
6,18,18,26,-0.9985288301111273,-0.3513978868378886,
6,19,12,35,-1.0498221244986778,-1.0185695809945732,
14,17,23,44,-0.1823215567939546,-0.6286086594223742,
5,16,8,18,-1.041453874828161,-0.7472144018302211,
