I_t,I_c,R_t,R_c,log_ratios_infect,log_ratios_recover,
9,27,13,49,-1.0296194171811581,-1.2729656758128873,
9,27,7,35,-1.0296194171811581,-1.5040773967762742,
8,22,9,36,-0.9382696385929302,-1.3083328196501787,
3,33,11,76,-2.1400661634962708,-1.8588987720656835,
3,15,10,30,-1.3862943611198906,-1.0360919316867756,
8,26,20,54,-1.0986122886681098,-0.9628107475090478,
1,37,6,56,-2.9444389791664407,-2.097141118779237,
4,40,20,82,-2.1041341542702074,-1.374318170073175,
9,21,11,33,-0.7884573603642702,-1.041453874828161,
5,50,23,71,-2.1400661634962708,-1.0986122886681098,
12,22,30,29,-0.570544858467613,0.03278982282299097,
5,32,14,58,-1.7047480922384253,-1.3694872428035094,
7,28,17,60,-1.2878542883066382,-1.2205021062771466,
9,14,22,43,-0.40546510810816444,-0.6486954179891115,
10,24,27,64,-0.8209805520698302,-0.8421827597204331,
13,46,33,63,-1.2110902720948,-0.6325225587435105,
1,58,3,84,-3.3843902633457743,-3.056356895370426,
16,21,29,39,-0.2578291093020998,-0.2876820724517809,
8,37,14,83,-1.4403615823901665,-1.7227665977411035,
8,41,14,74,-1.540445040947149,-1.6094379124341003,
5,36,16,62,-1.8191584434161694,-1.3099213823353166,
3,38,7,53,-2.277267285009756,-1.9095425048844386,
9,27,17,47,-1.0296194171811581,-0.9808292530117262,
6,23,7,44,-1.2321436812926323,-1.7272209480904839,
16,30,23,37,-0.6007738604289302,-0.4595323293784402,
9,18,32,29,-0.6418538861723948,0.09531017980432493,
15,39,22,71,-0.916290731874155,-1.1411719030869056,
19,28,33,45,-0.37156355643248296,-0.3022808718729337,
11,27,19,36,-0.8472978603872037,-0.6151856390902334,
3,33,6,66,-2.1400661634962708,-2.2587824703356527,
7,50,25,81,-1.8523840910444898,-1.148622709242771,
6,19,13,30,-1.0498221244986778,-0.7949298748698876,
11,24,25,69,-0.7339691750802004,-0.9903987040278769,
9,40,17,55,-1.410986973710262,-1.1349799328389845,
3,20,8,37,-1.6582280766035324,-1.4403615823901665,
7,19,18,53,-0.916290731874155,-1.0445450673978338,
