I_t,I_c,R_t,R_c,log_ratios_infect,log_ratios_recover,
32,32,44,62,0.0,-0.3364722366212129,
15,31,32,44,-0.6931471805599453,-0.3101549283038396,
22,22,34,41,0.0,-0.1823215567939546,
16,30,34,67,-0.6007738604289302,-0.6641596436866931,
35,21,57,32,0.49247648509779424,0.5639354490799391,
24,24,39,31,0.0,0.22314355131420976,
38,35,66,62,0.08004270767353636,0.061557892999433365,
29,25,59,39,0.14310084364067324,0.4054651081081644,
22,9,44,29,0.8329091229351039,0.4054651081081644,
10,25,29,48,-0.8602012652231115,-0.4906229164484712,
14,11,27,13,0.22314355131420976,0.6931471805599453,
11,15,22,33,-0.2876820724517809,-0.39086630868701167,
31,15,46,28,0.6931471805599453,0.4828517717235845,
24,15,39,38,0.44628710262841953,0.025317807984289786,
37,21,57,38,0.5465437063680699,0.39688136441677296,
23,20,41,47,0.13353139262452257,-0.13353139262452263,
12,17,16,29,-0.325422400434628,-0.5679840376059393,
21,32,53,37,-0.40546510810816444,0.3513978868378886,
34,20,62,51,0.5108256237659907,0.19189100781010526,
15,30,23,52,-0.661398482245365,-0.7922380832041762,
32,40,63,60,-0.2170645052378275,0.04800921918636066,
21,42,54,74,-0.6701576623352465,-0.3101549283038396,
19,31,37,64,-0.4700036292457356,-0.5368011101692512,
36,17,72,28,0.7205461547480596,0.923163611161917,
47,22,84,35,0.7357067949787413,0.8591323180342064,
29,41,55,66,-0.3364722366212129,-0.17934092865581686,
17,29,39,35,-0.5108256237659907,0.10536051565782635,
46,48,69,62,-0.041672696400568074,0.10536051565782635,
37,21,37,29,0.5465437063680699,0.23638877806423034,
37,16,52,29,0.8043728156701697,0.5690945318899664,
26,17,40,39,0.4054651081081644,0.024692612590371414,
37,32,43,52,0.1410785982599056,-0.1861022796338606,
18,26,34,39,-0.3513978868378886,-0.13353139262452263,
47,29,82,48,0.47000362924573563,0.5270203096859714,
52,16,107,44,1.1370785694959058,0.8754687373538999,
28,29,34,70,-0.03390155167568134,-0.7073318155519017,
21,32,43,32,-0.40546510810816444,0.28768207245178085,
23,24,51,49,-0.040821994520255166,0.03922071315328133,
42,17,59,22,0.8708283577973978,0.958850346292951,
31,39,69,57,-0.2231435513142097,0.18805223150293962,
10,17,13,27,-0.49247648509779407,-0.6931471805599453,
29,48,61,54,-0.4906229164484712,0.11980119981262058,
35,28,63,46,0.216223108469636,0.30873548164961323,
35,43,63,62,-0.2006706954621511,0.015748356968139112,
29,8,41,11,1.2039728043259361,1.252762968495368,
31,23,59,57,0.28768207245178085,0.033901551675681416,
34,31,47,62,0.08961215868968714,-0.2719337154836418,
32,27,45,36,0.16430305129127634,0.21772348384487053,
25,38,47,52,-0.40546510810816444,-0.09909090264423089,
16,21,48,43,-0.2578291093020998,0.10763066419236536,
38,38,56,68,0.0,-0.19105523676270922,
16,43,34,61,-0.9509762898620451,-0.5717863235556778,
14,34,29,73,-0.8472978603872037,-0.9028677115420143,
26,31,49,43,-0.16989903679539747,0.127833371509885,
19,24,47,37,-0.2231435513142097,0.2336148511815051,
28,12,42,32,0.8023464725249373,0.26469255422708216,
29,33,62,63,-0.12516314295400605,-0.015748356968139168,
25,40,63,63,-0.45547552868282576,0.0,
21,19,43,37,0.09531017980432493,0.14660347419187544,
27,29,51,46,-0.06899287148695143,0.10109611687136881,
23,23,45,30,0.0,0.39465419200394874,
10,23,30,38,-0.7801585575495751,-0.22957444164450025,
28,42,62,78,-0.3939042857070884,-0.22631312607548876,
33,41,60,48,-0.2113090936672069,0.21905356606268467,
31,46,40,54,-0.38441169891033206,-0.29376111852816306,
31,31,50,48,0.0,0.040005334613699206,
27,40,46,86,-0.3813675565291038,-0.6157605169445252,
45,32,87,53,0.33213383502261484,0.488352767913932,
25,20,32,42,0.2135741002980591,-0.26469255422708216,
15,26,39,45,-0.5232481437645479,-0.13976194237515874,
13,17,25,42,-0.25131442828090605,-0.5031035776720805,
23,20,39,48,0.13353139262452257,-0.2029408439966903,
40,22,88,65,0.578077850775158,0.29898162770571424,
29,24,48,30,0.1823215567939546,0.4578330936254803,
23,30,43,67,-0.25593337413720063,-0.4353180712578455,
12,34,37,49,-0.9903987040278769,-0.2744368457017603,
6,23,14,34,-1.2321436812926323,-0.8472978603872037,
31,40,46,70,-0.2478361639045812,-0.4125322753312568,
35,33,66,54,0.05715841383994862,0.1973594341584952,
26,21,41,37,0.20479441264601322,0.10008345855698263,
25,26,35,47,-0.037740327982847086,-0.2876820724517809,
