I_t,I_c,R_t,R_c,log_ratios_infect,log_ratios_recover,
35,19,51,47,0.5877866649021191,0.08004270767353636,
39,36,67,46,0.07796154146971192,0.3693601034660482,
33,26,39,40,0.23052365861183235,-0.02469261259037152,
12,11,19,23,0.08004270767353636,-0.1823215567939546,
23,35,45,60,-0.40546510810816444,-0.28223246768421634,
28,47,55,68,-0.503905180921417,-0.2087548138621101,
29,30,54,52,-0.03278982282299084,0.037041271680349076,
29,12,48,30,0.8362480242006185,0.4578330936254803,
24,38,50,71,-0.44468582126144557,-0.3448404862917295,
35,21,56,33,0.49247648509779424,0.5166907432183888,
36,34,64,64,0.055569851154810786,0.0,
26,44,42,69,-0.5108256237659907,-0.4872951263557965,
31,22,57,40,0.3302416868705768,0.3468709438421115,
22,27,21,51,-0.19671029424605427,-0.8602012652231115,
15,48,26,76,-1.1192315758708455,-1.0479685558493548,
38,25,57,51,0.4054651081081644,0.109199291964992,
28,27,74,47,0.03509131981127019,0.44628710262841953,
35,19,57,45,0.5877866649021191,0.23180161405732438,
21,17,30,23,0.20067069546215124,0.2559333741372007,
36,29,51,51,0.2097205309820691,0.0,
37,34,64,31,0.08223809823697201,0.7086513670959106,
20,10,43,17,0.6466271649250525,0.8938178760220965,
27,34,53,40,-0.2231435513142097,0.2754119798599666,
33,20,57,37,0.4818380868927384,0.4228568508200336,
12,20,15,47,-0.4795730802618862,-1.0986122886681098,
28,26,42,34,0.07145896398214505,0.20585205420414882,
28,17,48,35,0.47692407209030935,0.30830135965451666,
36,16,65,37,0.7777045685880083,0.5520685823000399,
33,15,61,32,0.7537718023763802,0.6306268235786113,
29,22,53,34,0.2657031657330057,0.43363598507486073,
28,19,44,43,0.371563556432483,0.022472855852058576,
14,43,43,79,-1.0761394328160512,-0.5978370007556204,
23,44,58,74,-0.6286086594223742,-0.23995066963059103,
17,19,45,28,-0.10536051565782628,0.461345566502621,
32,31,43,37,0.030771658666753687,0.14660347419187544,
29,27,45,63,0.06899287148695142,-0.33024168687057687,
24,14,28,40,0.5108256237659907,-0.3462762367178338,
16,17,34,26,-0.05715841383994864,0.2595111954850846,
33,53,41,74,-0.46262352194811296,-0.579818495252942,
23,30,39,47,-0.25593337413720063,-0.1823215567939546,
26,23,53,49,0.11778303565638346,0.0769610411361284,
17,16,24,36,0.05715841383994862,-0.39204208777602373,
13,18,23,27,-0.3053816495511819,-0.15415067982725836,
29,19,66,44,0.4054651081081644,0.3980301296206463,
44,38,76,73,0.14310084364067324,0.03974032864951412,
23,25,36,59,-0.08004270767353637,-0.4834266495778762,
30,25,75,44,0.1758906664636642,0.5240708505160113,
14,36,30,44,-0.9028677115420143,-0.3726752852851735,
23,33,35,62,-0.3483066942682157,-0.5596157879354228,
43,29,81,64,0.3829922522561057,0.23233197736861597,
21,43,36,61,-0.6931471805599453,-0.5162164724008671,
30,22,69,40,0.29849298855599654,0.5349231753450512,
23,34,58,64,-0.37729423114146804,-0.09684982598991766,
44,14,72,19,1.0986122886681098,1.2947271675944,
10,34,19,39,-1.157452788691043,-0.6931471805599453,
31,49,45,82,-0.4462871026284195,-0.5901992113075029,
42,28,59,31,0.39390428570708846,0.6286086594223741,
26,38,43,63,-0.3677247801253174,-0.3746934494414107,
31,13,42,44,0.8266785731844679,-0.04546237407675729,
13,36,33,45,-0.9718605830289657,-0.3022808718729337,
42,38,63,65,0.09763846956391607,-0.03077165866675366,
30,27,37,49,0.10178269430994238,-0.2744368457017603,
33,10,41,32,1.128465251817791,0.24116205681688804,
17,27,22,52,-0.4418327522790392,-0.8347976976229721,
16,34,40,42,-0.7221347174331976,-0.04762804898925459,
19,27,45,34,-0.3364722366212129,0.27329333499968134,
24,32,34,47,-0.2776317365982795,-0.3158529494184773,
34,19,83,29,0.5596157879354227,1.0296194171811581,
34,18,74,26,0.6109090823229731,1.0216512475319812,
30,32,27,45,-0.06252035698133393,-0.496436886313891,
31,34,67,55,-0.08961215868968717,0.1941560144409574,
39,18,66,47,0.7444404749474958,0.3334916084830751,
26,35,45,40,-0.2876820724517809,0.11506932978478729,
25,39,47,80,-0.4307829160924542,-0.5232481437645479,
22,16,43,40,0.3022808718729337,0.07061756721395342,
35,22,64,42,0.44802472252696035,0.4131871542020747,
9,19,18,35,-0.6931471805599453,-0.6390799592896695,
14,26,45,38,-0.587786664902119,0.1650797503594486,
29,44,78,48,-0.40546510810816444,0.47762755435639487,
30,24,53,49,0.2151113796169455,0.0769610411361284,
32,20,58,42,0.4519851237430572,0.31633732821215704,
21,23,40,42,-0.08701137698962981,-0.04762804898925459,
35,30,64,44,0.14953173397096384,0.36772478012531734,
30,17,51,52,0.5436154465889816,-0.019048194970694474,
