I_t,I_c,R_t,R_c,log_ratios_infect,log_ratios_recover,
25,27,37,56,-0.07410797215372185,-0.40546510810816444,
22,9,43,19,0.8329091229351039,0.7884573603642703,
35,38,72,48,-0.08004270767353637,0.3986391430377646,
20,35,37,61,-0.5389965007326869,-0.4895482253187058,
41,24,88,50,0.5187937934151675,0.556810737007814,
13,22,27,46,-0.496436886313891,-0.5179430915348547,
26,38,40,61,-0.3677247801253174,-0.4135623183407838,
29,28,34,45,0.033901551675681416,-0.2732933349996813,
19,28,34,42,-0.37156355643248296,-0.20585205420414873,
28,39,51,79,-0.32158362412746233,-0.4307829160924542,
34,19,80,41,0.5596157879354227,0.6567795363890705,
27,32,42,67,-0.1643030512912763,-0.4583075894825443,
27,24,51,51,0.11332868530700327,0.0,
19,11,51,23,0.5108256237659907,0.7731898882334817,
28,24,57,42,0.14842000511827322,0.2992428948528569,
35,23,65,49,0.4054651081081644,0.27763173659827955,
47,28,79,47,0.5039051809214169,0.5108256237659907,
17,28,42,63,-0.4769240720903093,-0.39768296766610944,
57,16,87,32,1.2272296664902032,0.9808292530117262,
26,38,38,84,-0.3677247801253174,-0.77908961036067,
33,33,47,39,0.0,0.1823215567939546,
22,13,49,22,0.49643688631389105,0.7765287894989963,
11,18,27,28,-0.4595323293784402,-0.03509131981127006,
40,24,79,46,0.494696241836107,0.531879032963823,
30,14,52,18,0.7259370033829363,1.0258529343856813,
16,40,30,80,-0.8803587226480918,-0.9604619501872925,
40,34,89,68,0.1582240052148942,0.2657031657330057,
33,26,48,42,0.23052365861183235,0.13062018241706422,
25,45,59,62,-0.570544858467613,-0.048790164169432056,
49,26,74,46,0.616186139423817,0.46734051182625186,
39,5,85,6,1.8971199848858813,2.5084371471981943,
32,14,36,21,0.7884573603642703,0.5198754592859086,
21,21,29,32,0.0,-0.0953101798043249,
22,36,58,72,-0.4754236967150748,-0.21292199724267166,
15,50,36,64,-1.1592369104845446,-0.5634693572514127,
30,34,55,65,-0.12136085700426748,-0.1643030512912763,
36,24,85,50,0.3920420877760237,0.522521663529182,
26,21,56,55,0.20479441264601322,0.017699577099400857,
12,33,25,53,-0.9614111671546247,-0.7308875085427924,
37,11,54,20,1.1526795099383853,0.9628107475090479,
30,28,63,54,0.06669137449867214,0.15154989812720088,
24,42,52,69,-0.5423242908253616,-0.27820332849723717,
3,27,12,42,-1.9459101490553135,-1.1962507582320256,
32,25,47,40,0.23841102344499815,0.15762894420358306,
18,23,37,55,-0.2336148511815052,-0.38776553100876343,
15,23,31,71,-0.40546510810816444,-0.8109302162163288,
54,30,82,61,0.5733459807473247,0.2917062227515063,
16,21,37,45,-0.2578291093020998,-0.19105523676270922,
32,43,62,62,-0.2876820724517809,0.0,
34,18,77,38,0.6109090823229731,0.6931471805599453,
28,21,52,62,0.27625337662815813,-0.17284281283941083,
9,21,20,30,-0.7884573603642702,-0.3894647667617233,
21,13,62,29,0.4519851237430572,0.7419373447293773,
28,50,48,85,-0.5645298027378518,-0.5625269981428811,
10,28,21,76,-0.9694005571881036,-1.252762968495368,
35,23,56,55,0.4054651081081644,0.017699577099400857,
42,13,37,34,1.122142786078304,0.08223809823697201,
24,20,34,61,0.17435338714477774,-0.5717863235556778,
35,20,61,43,0.5389965007326869,0.3429447511268304,
36,35,64,50,0.027398974188114347,0.24256163717131127,
27,35,56,58,-0.25131442828090605,-0.03448617607116932,
16,20,48,35,-0.2113090936672069,0.30830135965451666,
20,21,34,40,-0.04652001563489282,-0.15822400521489416,
28,45,67,90,-0.46134556650262093,-0.29135180134074334,
21,13,51,38,0.4519851237430572,0.28768207245178085,
23,21,39,25,0.0870113769896297,0.43078291609245434,
37,35,65,74,0.05406722127027579,-0.12783337150988489,
16,26,21,36,-0.46262352194811296,-0.5198754592859085,
18,22,30,47,-0.19105523676270922,-0.4372138064227446,
19,33,33,54,-0.5306282510621704,-0.48097266061630956,
17,24,36,28,-0.3285040669720361,0.2436220826577505,
28,22,54,50,0.23180161405732438,0.0755075525081451,
21,39,48,73,-0.5978370007556204,-0.4122447950935431,
17,37,20,67,-0.7472144018302211,-1.1749852674526837,
38,20,59,18,0.6190392084062235,1.1499055830556602,
13,33,23,50,-0.8873031950009028,-0.7537718023763802,
33,37,76,51,-0.11122563511022437,0.39256170327225653,
37,29,69,44,0.23638877806423034,0.44183275227903923,
24,40,34,68,-0.49469624183610705,-0.6787584431078456,
54,26,83,41,0.7114963192281419,0.6931471805599453,
23,28,32,76,-0.18924199963852842,-0.8472978603872037,
27,28,45,47,-0.03509131981127006,-0.04255961441879589,
27,29,36,62,-0.06899287148695143,-0.5322168137473082,
22,20,35,68,0.09097177820572679,-0.6505875661411494,
27,22,44,42,0.1967102942460543,0.04546237407675741,
65,30,110,33,0.7556675375412792,1.1831696766961728,
24,29,63,56,-0.1823215567939546,0.11583181552512165,
18,37,37,91,-0.6931471805599453,-0.8842024173226546,
30,38,55,84,-0.22957444164450025,-0.41729956575516725,
54,42,93,93,0.24613306953890854,0.0,
51,19,65,32,0.9555114450274363,0.6931471805599453,
31,28,86,61,0.09844007281325251,0.3387737336094922,
21,38,39,72,-0.5725191927713306,-0.6015799870344549,
29,29,45,46,0.0,-0.02150620522096362,
