treat_one,treat_zero,control_one,control_zero,
2,3935,26,4913,
0,4590,28,4259,
0,4388,9,4553,
0,4035,8,4848,
0,5160,2,3668,
0,4665,1,4408,
0,4334,4,4627,
1,4725,10,4237,
0,4201,6,4939,
1,4387,9,4527,
0,5089,7,3815,
0,4871,3,3991,
0,4574,6,4378,
0,4155,10,4953,
0,4471,22,4298,
0,4356,6,4768,
2,4105,15,4701,
0,3939,27,5008,
0,4735,10,4204,
0,4949,15,4103,
0,4884,8,4061,
0,4418,12,4374,
0,4706,21,4292,
1,4991,21,4108,
1,4028,31,4763,
0,4121,13,4811,
0,4885,9,3969,
0,5259,14,3705,
0,3978,9,4969,
0,4260,14,4532,
0,4801,3,4350,
0,4070,35,4810,
0,4131,12,4734,
0,4308,19,4385,
0,4040,9,4737,
1,4731,21,4160,
1,3864,14,4904,
1,4499,4,4583,
0,4773,14,4107,
2,3928,13,5022,
0,4807,9,4084,
0,3951,26,5006,
1,4501,12,4396,
0,4147,16,4697,
0,4829,8,3880,
0,3512,34,5293,
0,4206,9,4537,
0,4948,16,3755,
0,4473,11,4440,
2,4397,4,4639,
0,4925,0,4167,
0,4521,9,4576,
0,4423,19,4341,
1,4230,4,4642,
0,4079,24,4822,
0,4729,2,4175,
1,4487,15,4445,
0,4921,3,3884,
0,3575,17,5114,
1,4696,9,4231,
0,4699,9,4131,
2,4004,15,4792,
0,4853,4,3901,
0,4808,7,4209,
0,5033,6,3867,
0,4613,13,4301,
0,4191,18,4633,
0,4666,29,4238,
0,4794,8,4079,
3,4893,10,3889,
0,5462,17,3410,
0,3980,1,4928,
0,4663,18,4429,
1,4850,5,4037,
0,4912,13,3798,
0,5497,1,3574,
2,5043,10,3615,
0,5334,5,3711,
0,4086,12,4891,
0,5047,1,3896,
0,3662,42,5054,
2,4389,27,4629,
1,4493,13,4573,
0,4989,6,3781,
0,4520,12,4336,
0,3623,33,5176,
0,3551,7,5177,
0,5007,10,3771,
0,5195,10,3768,
0,5236,15,3514,
0,4087,23,4675,
0,4708,36,4240,
1,4171,13,4672,
0,4540,13,4473,
0,5679,11,3269,
0,4418,0,4621,
0,4402,18,4435,
0,4471,8,4326,
3,3739,14,4893,
0,4673,4,4395,
0,3973,27,4760,
2,5204,4,3816,
1,4619,7,4157,
0,4093,22,4879,
0,4875,3,4192,
0,4006,9,4657,
0,4882,18,3833,
0,3972,37,4937,
0,4114,7,4871,
1,4031,18,4651,
1,4885,2,3908,
0,4491,22,4498,
1,4792,4,4025,
1,3804,1,4992,
0,4965,2,4129,
0,4348,16,4484,
0,4684,29,4193,
0,4819,16,3947,
0,5257,6,3749,
1,5278,7,3562,
0,4812,5,4171,
2,4040,24,4951,
0,4860,5,4268,
0,3280,12,5467,
0,4518,4,4422,
1,5375,14,3507,
0,4287,20,4734,
2,4286,25,4609,
0,4634,25,4329,
0,4741,4,4226,
0,4568,8,4455,
1,4862,12,4022,
2,4531,15,4400,
0,4047,21,5000,
1,4065,11,4665,
0,4638,10,4385,
0,4162,33,4829,
0,4426,18,4424,
0,4943,7,4067,
0,4900,5,4031,
0,4442,1,4206,
0,5247,12,3632,
1,5133,27,3706,
0,4817,9,3919,
0,4553,5,4227,
0,4033,10,5029,
0,4421,7,4430,
0,4716,16,4183,
0,4750,5,4107,
0,3889,28,5040,
1,4807,3,3866,
0,4600,7,4235,
0,3089,8,5867,
0,4483,7,4403,
0,5257,11,3480,
0,4315,18,4441,
0,4867,11,4007,
1,3639,9,5362,
0,4684,1,4362,
1,4207,3,4610,
1,5051,9,3943,
0,4474,9,4440,
0,3722,13,5005,
0,4468,5,4384,
1,5233,13,3730,
1,4583,13,4232,
0,4125,8,4797,
0,3992,3,5007,
1,4340,4,4451,
2,4155,7,4479,
0,4255,24,4681,
0,3945,11,4981,
0,3926,20,5072,
0,4537,14,4362,
1,4332,3,4501,
0,4411,5,4601,
0,4250,9,4717,
1,4037,16,4792,
0,4368,26,4452,
0,4703,6,4079,
0,4822,8,4083,
0,4648,21,4148,
0,3947,26,4738,
1,4266,4,4472,
0,4521,10,4300,
0,4972,11,3989,
0,4208,16,4696,
0,4115,6,4720,
1,3872,28,4875,
0,4742,14,4150,
1,4675,18,4019,
0,4508,26,4429,
1,3848,11,5153,
2,4999,16,3676,
0,4284,12,4695,
2,4476,24,4346,
0,4207,13,4531,
0,3823,6,5031,
0,4455,4,4457,
0,3500,10,5464,
1,3862,11,4999,
0,3323,26,5440,
1,3941,8,4983,
1,4612,19,4424,
0,4474,0,4460,
0,4453,20,4522,
0,5391,2,3422,
0,4324,12,4436,
1,4658,8,4409,
0,4028,25,4751,
0,4448,14,4291,
0,4725,7,4122,
2,6112,8,2938,
1,3991,9,4748,
0,4973,17,4020,
0,4666,7,4227,
0,3918,4,5043,
0,3975,20,4923,
0,3670,3,5244,
0,3945,28,4824,
0,3812,3,5173,
0,4830,15,4075,
1,4114,7,4932,
1,4389,0,4561,
0,5058,17,3905,
0,4824,6,4045,
0,5399,33,3615,
0,4245,19,4602,
1,4068,1,4797,
0,4454,33,4662,
0,3973,14,4963,
1,5113,16,3789,
0,4767,7,4121,
0,4319,27,4501,
1,4813,10,4147,
0,3827,3,5130,
0,5204,18,3867,
0,4298,21,4658,
0,4741,7,4009,
0,3792,13,5189,
0,4508,1,4288,
2,4888,14,4103,
1,5229,9,3783,
0,4116,9,4779,
0,4945,20,4025,
0,4410,18,4611,
0,4395,15,4622,
0,4530,9,4330,
0,3741,5,5184,
0,3451,12,5478,
0,5385,13,3504,
0,3976,6,4817,
0,3837,7,5083,
0,4879,15,4035,
2,4756,8,4145,
0,5416,13,3527,
0,4369,7,4423,
0,5202,3,3741,
0,4261,8,4724,
1,5021,13,3926,
0,4766,18,3999,
0,4265,18,4697,
0,5048,12,3953,
2,5102,11,3878,
0,4006,14,4951,
0,4064,4,5047,
1,4893,12,4196,
0,5084,8,3872,
1,4372,17,4442,
0,4936,43,3991,
