"","SimulationNumber","InfectedNode","DayInfected","Community","TrialStatus","DayEnrolled"
"1",46,2622,56,27,NA,NA
"2",46,2472,58,25,NA,NA
"3",46,3343,58,34,0,56
"4",46,2473,63,25,0,56
"5",46,2688,65,27,NA,NA
"6",46,2421,67,25,0,56
"7",46,2443,70,25,NA,NA
"8",46,3138,70,32,NA,NA
"9",46,473,71,5,0,56
"10",46,2384,73,25,0,56
"11",46,2631,73,27,0,56
"12",46,2470,75,25,NA,NA
"13",46,2388,76,25,0,56
"14",46,444,79,5,0,56
"15",46,3169,79,32,NA,NA
"16",46,2456,80,25,NA,NA
"17",46,3187,80,32,NA,NA
"18",46,466,81,5,0,56
"19",46,625,81,7,NA,NA
"20",46,3159,81,32,NA,NA
"21",46,2380,83,25,0,56
"22",46,2396,83,25,0,56
"23",46,2680,84,27,NA,NA
"24",46,2447,85,25,NA,NA
"25",46,2374,86,25,0,56
"26",46,2459,86,25,NA,NA
"27",46,3193,86,32,NA,NA
"28",46,3117,87,32,0,56
"29",46,614,88,7,0,56
"30",46,2587,88,27,0,56
"31",46,2413,89,25,NA,NA
"32",46,2425,89,25,NA,NA
"33",46,3175,89,32,NA,NA
"34",46,2437,90,25,NA,NA
"35",46,3137,90,32,0,56
"36",46,458,91,5,0,56
"37",46,2458,91,25,0,56
"38",46,445,92,5,NA,NA
"39",46,1161,92,12,0,56
"40",46,2439,92,25,NA,NA
"41",46,2412,93,25,NA,NA
"42",46,2424,93,25,0,56
"43",46,2584,94,27,0,56
"44",46,2463,95,25,NA,NA
"45",46,2466,95,25,NA,NA
"46",46,2639,95,27,0,56
"47",46,3158,95,32,0,56
"48",46,493,96,5,0,56
"49",46,2467,96,25,0,56
"50",46,3132,96,32,0,56
"51",46,465,97,5,0,56
"52",46,2588,97,27,NA,NA
"53",46,440,98,5,0,56
"54",46,2469,98,25,0,56
"55",46,477,99,5,NA,NA
"56",46,632,99,7,0,56
"57",46,2391,99,25,NA,NA
"58",46,2418,99,25,NA,NA
"59",46,3124,99,32,0,56
"60",46,3161,99,32,0,56
"61",46,425,100,5,0,56
"62",46,1164,100,12,NA,NA
"63",46,2393,100,25,0,56
"64",46,2682,100,27,0,56
"65",46,2684,100,27,0,56
"66",46,2658,101,27,0,56
"67",46,3149,101,32,0,56
"68",46,3186,101,32,0,56
"69",46,2426,102,25,0,56
"70",46,2468,102,25,0,56
"71",46,2471,102,25,0,56
"72",46,3152,102,32,NA,NA
"73",46,2382,103,25,NA,NA
"74",46,2409,103,25,NA,NA
"75",46,2430,103,25,0,56
"76",46,2690,103,27,0,56
"77",46,2387,104,25,0,56
"78",46,2457,105,25,NA,NA
"79",46,2464,105,25,0,56
"80",46,1200,106,12,0,56
"81",46,2429,106,25,NA,NA
"82",46,2442,106,25,NA,NA
"83",46,2611,106,27,0,56
"84",46,2630,106,27,NA,NA
"85",46,3177,106,32,NA,NA
"86",46,415,107,5,NA,NA
"87",46,447,107,5,0,56
"88",46,2383,107,25,NA,NA
"89",46,2385,107,25,0,56
"90",46,2452,107,25,NA,NA
"91",46,2744,107,28,NA,NA
"92",46,3127,107,32,NA,NA
"93",46,2433,108,25,0,56
"94",46,2448,108,25,0,56
"95",46,495,109,5,0,56
"96",46,2379,109,25,0,56
"97",46,2653,109,27,NA,NA
"98",46,442,110,5,NA,NA
"99",46,497,110,5,0,56
"100",46,2404,110,25,NA,NA
"101",46,2427,110,25,NA,NA
"102",46,2606,110,27,0,56
"103",46,2616,110,27,0,56
"104",46,2654,110,27,NA,NA
"105",46,3181,110,32,0,56
"106",46,1163,111,12,0,56
"107",46,2423,111,25,0,56
"108",46,2614,112,27,NA,NA
"109",46,2665,112,27,0,56
"110",46,3131,112,32,0,56
"111",46,417,113,5,NA,NA
"112",46,2415,113,25,NA,NA
"113",46,3136,113,32,0,56
"114",46,3199,113,32,NA,NA
"115",46,448,114,5,0,56
"116",46,2422,114,25,NA,NA
"117",46,2671,114,27,NA,NA
"118",46,1114,115,12,1,56
"119",46,1176,115,12,NA,NA
"120",46,2381,115,25,0,56
"121",46,3123,115,32,NA,NA
"122",46,2633,116,27,0,56
"123",46,2646,116,27,NA,NA
"124",46,3198,116,32,0,56
"125",46,454,117,5,NA,NA
"126",46,469,117,5,0,56
"127",46,602,117,7,0,56
"128",46,2108,117,22,0,56
"129",46,3172,117,32,NA,NA
"130",46,1144,118,12,NA,NA
"131",46,3194,118,32,NA,NA
"132",46,3362,118,34,0,56
"133",46,1090,119,12,NA,NA
"134",46,1115,119,12,1,56
"135",46,2407,119,25,NA,NA
"136",46,2455,119,25,NA,NA
"137",46,422,120,5,NA,NA
"138",46,427,120,5,0,56
"139",46,434,120,5,NA,NA
"140",46,479,120,5,NA,NA
"141",46,1145,120,12,1,56
"142",46,2402,120,25,NA,NA
