"","SimulationNumber","InfectedNode","DayInfected","Community","TrialStatus","DayEnrolled"
"1",90,3129,56,32,NA,NA
"2",90,3181,63,32,0,56
"3",90,3127,68,32,0,56
"4",90,2477,71,25,0,56
"5",90,3107,74,32,NA,NA
"6",90,3139,74,32,0,56
"7",90,3178,78,32,0,56
"8",90,2432,80,25,0,56
"9",90,2451,80,25,NA,NA
"10",90,1946,81,20,NA,NA
"11",90,2386,81,25,NA,NA
"12",90,3174,81,32,NA,NA
"13",90,3096,82,32,NA,NA
"14",90,800,83,9,NA,NA
"15",90,3152,83,32,NA,NA
"16",90,3163,83,32,NA,NA
"17",90,3176,83,32,NA,NA
"18",90,3138,84,32,NA,NA
"19",90,2429,85,25,NA,NA
"20",90,2431,85,25,NA,NA
"21",90,1871,86,20,NA,NA
"22",90,2430,86,25,0,56
"23",90,2442,86,25,NA,NA
"24",90,2455,86,25,0,56
"25",90,3100,86,32,NA,NA
"26",90,3108,86,32,0,56
"27",90,3148,86,32,0,56
"28",90,1928,87,20,NA,NA
"29",90,2395,87,25,0,56
"30",90,2458,87,25,NA,NA
"31",90,2393,88,25,NA,NA
"32",90,3142,88,32,0,56
"33",90,821,89,9,0,56
"34",90,2468,89,25,0,56
"35",90,3122,89,32,0,56
"36",90,3149,89,32,NA,NA
"37",90,1908,90,20,0,56
"38",90,2379,90,25,NA,NA
"39",90,2418,90,25,0,56
"40",90,2793,90,29,NA,NA
"41",90,3172,90,32,0,56
"42",90,863,91,9,0,56
"43",90,1894,91,20,0,56
"44",90,2461,91,25,0,56
"45",90,3111,91,32,0,56
"46",90,791,92,9,NA,NA
"47",90,1867,92,20,0,56
"48",90,2412,92,25,NA,NA
"49",90,2434,92,25,NA,NA
"50",90,2438,92,25,0,56
"51",90,3150,92,32,0,56
"52",90,3123,93,32,0,56
"53",90,3167,93,32,0,56
"54",90,803,94,9,0,56
"55",90,1945,94,20,0,56
"56",90,2400,94,25,0,56
"57",90,2401,94,25,NA,NA
"58",90,2410,94,25,0,56
"59",90,2472,94,25,NA,NA
"60",90,1920,95,20,0,56
"61",90,2416,95,25,0,56
"62",90,2422,95,25,NA,NA
"63",90,777,96,9,NA,NA
"64",90,818,96,9,0,56
"65",90,848,96,9,NA,NA
"66",90,2421,96,25,0,56
"67",90,2471,96,25,NA,NA
"68",90,3098,96,32,NA,NA
"69",90,3101,96,32,0,56
"70",90,3154,96,32,NA,NA
"71",90,3924,96,40,0,56
"72",90,1891,97,20,0,56
"73",90,2454,97,25,0,56
"74",90,2462,97,25,0,56
"75",90,3157,97,32,NA,NA
"76",90,787,98,9,0,56
"77",90,794,98,9,0,56
"78",90,810,98,9,NA,NA
"79",90,1913,98,20,0,56
"80",90,2394,98,25,0,56
"81",90,849,99,9,NA,NA
"82",90,2382,99,25,NA,NA
"83",90,2391,99,25,0,56
"84",90,2403,99,25,0,56
"85",90,2406,99,25,NA,NA
"86",90,2413,99,25,NA,NA
"87",90,2424,99,25,NA,NA
"88",90,2436,99,25,NA,NA
"89",90,2476,99,25,NA,NA
"90",90,2804,99,29,0,56
"91",90,2852,99,29,0,56
"92",90,3114,99,32,NA,NA
"93",90,784,100,9,0,56
"94",90,841,100,9,0,56
"95",90,857,100,9,NA,NA
"96",90,1896,100,20,NA,NA
"97",90,1941,100,20,NA,NA
"98",90,2397,100,25,NA,NA
"99",90,2417,100,25,NA,NA
"100",90,2444,100,25,NA,NA
"101",90,3151,100,32,NA,NA
"102",90,867,101,9,NA,NA
"103",90,1901,101,20,0,56
"104",90,2425,101,25,0,56
"105",90,2445,101,25,NA,NA
"106",90,3117,101,32,0,56
"107",90,3160,101,32,0,56
"108",90,785,102,9,NA,NA
"109",90,799,102,9,NA,NA
"110",90,827,102,9,0,56
"111",90,837,102,9,NA,NA
"112",90,1942,102,20,NA,NA
"113",90,2420,102,25,NA,NA
"114",90,2439,102,25,NA,NA
"115",90,2446,102,25,0,56
"116",90,3164,102,32,NA,NA
"117",90,3179,102,32,NA,NA
"118",90,3972,102,40,0,56
"119",90,776,103,9,NA,NA
"120",90,828,103,9,NA,NA
"121",90,833,103,9,0,56
"122",90,2825,103,29,NA,NA
"123",90,3095,103,32,NA,NA
"124",90,3131,103,32,NA,NA
"125",90,3177,103,32,0,56
