"","SimulationNumber","Node","Community","TrialStatus","DayEnrolled"
"1",14,1,1,0,56
"2",14,3,1,0,56
"3",14,5,1,0,56
"4",14,6,1,0,56
"5",14,16,1,0,56
"6",14,20,1,0,56
"7",14,22,1,0,56
"8",14,23,1,0,56
"9",14,28,1,0,56
"10",14,33,1,0,56
"11",14,34,1,0,56
"12",14,37,1,0,56
"13",14,38,1,0,56
"14",14,40,1,0,56
"15",14,44,1,0,56
"16",14,45,1,0,56
"17",14,47,1,0,56
"18",14,49,1,0,56
"19",14,52,1,0,56
"20",14,56,1,0,56
"21",14,58,1,0,56
"22",14,63,1,0,56
"23",14,64,1,0,56
"24",14,65,1,0,56
"25",14,70,1,0,56
"26",14,71,1,0,56
"27",14,72,1,0,56
"28",14,73,1,0,56
"29",14,74,1,0,56
"30",14,75,1,0,56
"31",14,76,1,0,56
"32",14,78,1,0,56
"33",14,80,1,0,56
"34",14,82,1,0,56
"35",14,84,1,0,56
"36",14,85,1,0,56
"37",14,86,1,0,56
"38",14,87,1,0,56
"39",14,88,1,0,56
"40",14,89,1,0,56
"41",14,91,1,0,56
"42",14,95,1,0,56
"43",14,96,1,0,56
"44",14,97,1,0,56
"45",14,98,1,0,56
"46",14,101,1,0,56
"47",14,103,1,0,56
"48",14,107,1,0,56
"49",14,108,1,0,56
"50",14,109,1,0,56
"51",14,110,1,0,56
"52",14,111,1,0,56
"53",14,112,1,0,56
"54",14,113,1,0,56
"55",14,114,1,0,56
"56",14,115,1,0,56
"57",14,116,1,0,56
"58",14,117,1,0,56
"59",14,118,1,0,56
"60",14,124,2,1,56
"61",14,125,2,1,56
"62",14,126,2,1,56
"63",14,127,2,1,56
"64",14,129,2,1,56
"65",14,133,2,1,56
"66",14,134,2,1,56
"67",14,136,2,1,56
"68",14,138,2,1,56
"69",14,139,2,1,56
"70",14,140,2,1,56
"71",14,143,2,1,56
"72",14,146,2,1,56
"73",14,147,2,1,56
"74",14,148,2,1,56
"75",14,150,2,1,56
"76",14,151,2,1,56
"77",14,152,2,1,56
"78",14,153,2,1,56
"79",14,155,2,1,56
"80",14,157,2,1,56
"81",14,161,2,1,56
"82",14,165,2,1,56
"83",14,166,2,1,56
"84",14,167,2,1,56
"85",14,168,2,1,56
"86",14,174,2,1,56
"87",14,177,2,1,56
"88",14,181,2,1,56
"89",14,182,2,1,56
"90",14,185,2,1,56
"91",14,187,2,1,56
"92",14,188,2,1,56
"93",14,189,2,1,56
"94",14,190,2,1,56
"95",14,191,2,1,56
"96",14,192,2,1,56
"97",14,193,2,1,56
"98",14,194,2,1,56
"99",14,195,2,1,56
"100",14,198,2,1,56
"101",14,200,2,1,56
"102",14,204,3,1,56
"103",14,205,3,1,56
"104",14,207,3,1,56
"105",14,211,3,1,56
"106",14,213,3,1,56
"107",14,214,3,1,56
"108",14,215,3,1,56
"109",14,217,3,1,56
"110",14,219,3,1,56
"111",14,220,3,1,56
"112",14,222,3,1,56
"113",14,224,3,1,56
"114",14,225,3,1,56
"115",14,227,3,1,56
"116",14,229,3,1,56
"117",14,230,3,1,56
"118",14,232,3,1,56
"119",14,234,3,1,56
"120",14,235,3,1,56
"121",14,237,3,1,56
"122",14,239,3,1,56
"123",14,242,3,1,56
"124",14,246,3,1,56
"125",14,247,3,1,56
"126",14,252,3,1,56
"127",14,256,3,1,56
"128",14,258,3,1,56
"129",14,259,3,1,56
"130",14,262,3,1,56
"131",14,263,3,1,56
"132",14,264,3,1,56
"133",14,265,3,1,56
"134",14,266,3,1,56
"135",14,269,3,1,56
"136",14,271,3,1,56
"137",14,272,3,1,56
"138",14,273,3,1,56
"139",14,275,3,1,56
"140",14,279,3,1,56
"141",14,280,3,1,56
"142",14,281,3,1,56
"143",14,282,3,1,56
"144",14,285,3,1,56
"145",14,286,3,1,56
"146",14,291,3,1,56
"147",14,292,3,1,56
"148",14,294,3,1,56
"149",14,295,3,1,56
"150",14,297,3,1,56
"151",14,300,3,1,56
"152",14,302,4,0,56
"153",14,303,4,0,56
"154",14,304,4,0,56
"155",14,306,4,0,56
"156",14,307,4,0,56
"157",14,308,4,0,56
"158",14,310,4,0,56
"159",14,313,4,0,56
"160",14,315,4,0,56
"161",14,319,4,0,56
"162",14,323,4,0,56
