"","Community","DayVaccinated","indivs","StartPd","Pd_1","Pd_2","Pd_3","Pd_4","Pd_5","Pd_6","Pd_7","Pd_8","Pd_9","Pd_10","Pd_11"
"1",79,84,54,2,2,5,1,1,2,0,0,0,0,0,0
"2",48,84,41,2,0,0,0,0,0,0,0,0,0,0,0
"3",5,84,56,2,0,0,0,0,0,0,0,0,0,0,0
"4",36,84,46,2,0,0,0,0,0,0,0,0,0,0,0
"5",54,112,51,3,0,0,0,0,0,0,0,0,0,0,0
"6",1,112,46,3,0,0,0,0,0,0,0,0,0,0,1
"7",76,112,50,3,0,0,0,0,0,0,1,2,0,0,0
"8",43,112,42,3,0,0,0,0,0,0,0,0,0,0,0
"9",20,140,48,4,0,0,3,6,0,0,0,0,0,0,0
"10",19,140,48,4,0,0,0,0,0,0,0,0,0,0,0
"11",50,140,44,4,1,27,13,0,0,0,0,0,0,0,0
"12",91,140,44,4,0,0,7,8,0,0,0,0,0,0,0
"13",63,168,46,5,0,0,0,0,0,0,0,0,1,0,0
"14",30,168,46,5,0,1,19,24,0,0,0,0,0,0,0
"15",51,168,41,5,0,0,0,0,0,0,0,0,0,0,0
"16",60,168,50,5,0,0,0,0,0,0,0,0,0,0,0
"17",56,196,44,6,0,0,0,0,0,0,0,0,0,0,0
"18",28,196,41,6,0,0,0,0,0,0,0,0,0,0,0
"19",85,196,58,6,0,0,0,0,0,0,0,0,0,0,0
"20",16,196,52,6,0,0,0,0,0,0,0,0,0,0,0
"21",39,224,40,7,0,0,0,0,0,0,0,0,0,0,0
"22",17,224,58,7,0,0,0,0,0,5,11,2,0,0,0
"23",53,224,50,7,0,0,0,0,0,0,0,1,0,0,0
"24",99,224,58,7,52,6,0,0,0,0,0,0,0,0,0
"25",96,252,42,8,0,0,0,0,0,0,0,0,0,0,0
"26",86,252,46,8,0,0,0,0,0,0,2,6,2,0,0
"27",2,252,54,8,0,0,0,0,0,0,0,0,0,0,0
"28",49,252,49,8,0,0,0,0,0,0,0,2,1,0,0
"29",92,280,46,9,0,0,0,0,0,0,0,0,0,0,0
"30",21,280,43,9,0,0,0,0,0,0,0,0,0,0,0
"31",80,280,48,9,0,0,0,0,0,0,0,0,0,0,0
"32",26,280,42,9,0,0,0,3,27,8,0,0,0,0,0
"33",24,308,48,10,0,0,0,0,0,0,0,0,0,0,0
"34",82,308,41,10,0,0,0,0,0,0,0,1,13,8,0
"35",44,308,45,10,0,0,0,0,0,0,0,0,0,0,0
"36",40,308,49,10,0,0,0,0,0,0,0,0,0,0,0
"37",47,336,55,11,0,0,0,0,0,0,0,0,0,0,0
"38",29,336,58,11,0,0,0,0,0,0,0,0,0,0,0
"39",66,336,55,11,0,0,0,0,0,0,0,0,0,0,0
"40",11,336,57,11,0,0,0,0,0,0,0,0,0,0,0
"41",4,364,56,12,0,0,0,0,0,0,0,1,47,7,0
"42",27,364,59,12,0,0,0,0,0,0,0,0,0,0,0
"43",94,364,58,12,0,0,0,0,0,0,0,0,0,0,0
"44",12,364,56,12,0,0,0,0,0,0,0,0,18,37,1
