"","SimulationNumber","InfectedNode","DayInfected","Community","TrialStatus","DayEnrolled"
"1",48,947,104,10,0,56
"2",48,974,110,10,0,56
"3",48,953,118,10,0,56
"4",48,941,126,10,0,56
"5",48,934,130,10,0,56
"6",48,5660,131,58,NA,NA
"7",48,979,132,10,NA,NA
"8",48,923,134,10,0,56
"9",48,7942,136,80,1,56
"10",48,929,140,10,NA,NA
"11",48,5701,140,58,1,56
"12",48,907,141,10,0,56
"13",48,964,141,10,0,56
"14",48,925,142,10,0,56
"15",48,942,142,10,0,56
"16",48,943,142,10,0,56
"17",48,7896,142,80,NA,NA
"18",48,5730,143,58,1,56
"19",48,919,145,10,NA,NA
"20",48,969,146,10,0,56
"21",48,5690,146,58,NA,NA
"22",48,5724,146,58,1,56
"23",48,955,147,10,0,56
"24",48,5722,147,58,1,56
"25",48,7919,147,80,NA,NA
"26",48,7936,147,80,NA,NA
"27",48,890,148,10,0,56
"28",48,918,148,10,NA,NA
"29",48,5702,148,58,NA,NA
"30",48,5706,149,58,NA,NA
"31",48,935,150,10,0,56
"32",48,957,150,10,0,56
"33",48,5668,150,58,NA,NA
"34",48,5711,150,58,NA,NA
"35",48,5682,151,58,NA,NA
"36",48,5684,151,58,1,56
"37",48,920,152,10,NA,NA
"38",48,908,153,10,NA,NA
"39",48,5691,153,58,NA,NA
"40",48,5729,153,58,1,56
"41",48,913,154,10,0,56
"42",48,938,154,10,NA,NA
"43",48,939,154,10,NA,NA
"44",48,5662,154,58,1,56
"45",48,5679,154,58,NA,NA
"46",48,5742,154,58,1,56
"47",48,7906,154,80,NA,NA
"48",48,917,155,10,NA,NA
"49",48,950,155,10,NA,NA
"50",48,5688,155,58,1,56
"51",48,5717,155,58,1,56
"52",48,911,156,10,NA,NA
"53",48,915,156,10,0,56
"54",48,930,156,10,NA,NA
"55",48,5710,156,58,NA,NA
"56",48,5739,156,58,NA,NA
"57",48,8114,156,82,NA,NA
"58",48,909,157,10,NA,NA
"59",48,926,157,10,0,56
"60",48,961,157,10,NA,NA
"61",48,5269,157,54,NA,NA
"62",48,900,158,10,0,56
"63",48,932,158,10,0,56
"64",48,5664,158,58,NA,NA
"65",48,5696,158,58,NA,NA
"66",48,5713,158,58,NA,NA
"67",48,901,159,10,0,56
"68",48,951,159,10,0,56
"69",48,971,159,10,0,56
"70",48,5661,159,58,1,56
"71",48,5687,159,58,NA,NA
"72",48,5689,159,58,1,56
"73",48,5698,159,58,1,56
"74",48,5747,159,58,1,56
"75",48,7940,159,80,1,56
"76",48,931,160,10,NA,NA
