"","Community","DayVaccinated","indivs","StartPd","Pd_1","Pd_2","Pd_3","Pd_4","Pd_5","Pd_6","Pd_7","Pd_8","Pd_9","Pd_10","Pd_11"
"1",79,84,50,2,0,0,0,0,0,0,0,0,1,11,32
"2",97,84,47,2,0,0,0,0,0,0,0,0,0,0,0
"3",45,84,48,2,0,0,0,0,0,0,10,28,7,0,0
"4",66,84,51,2,0,0,0,0,0,0,0,0,0,0,0
"5",1,112,52,3,0,0,0,0,0,0,0,0,3,42,7
"6",61,112,60,3,0,0,0,0,0,0,0,0,0,0,0
"7",25,112,54,3,0,0,0,0,0,0,0,0,0,0,0
"8",99,112,56,3,0,0,0,0,0,0,0,0,0,0,0
"9",24,140,47,4,0,0,0,0,0,0,0,0,0,0,0
"10",64,140,40,4,0,0,0,0,0,0,0,0,0,0,0
"11",88,140,60,4,0,0,0,0,0,0,0,0,0,0,0
"12",32,140,60,4,0,0,0,0,0,0,0,0,0,0,0
"13",48,168,52,5,0,0,0,0,0,0,0,0,0,0,0
"14",14,168,40,5,0,0,0,0,0,0,2,18,19,0,0
"15",75,168,57,5,9,43,4,0,0,0,0,0,0,0,0
"16",76,168,42,5,0,0,0,0,0,0,0,0,5,28,2
"17",13,196,55,6,0,0,0,0,0,0,0,0,0,0,0
"18",65,196,54,6,0,0,0,0,0,0,0,0,0,0,0
"19",18,196,60,6,0,0,0,0,0,0,0,8,47,3,0
"20",6,196,48,6,10,29,5,0,0,0,0,0,0,0,0
"21",59,224,49,7,0,0,0,0,0,0,0,0,0,0,0
"22",70,224,44,7,0,0,0,0,0,0,0,0,0,0,0
"23",90,224,52,7,0,0,0,0,0,0,0,0,0,0,0
"24",51,224,57,7,0,0,0,0,0,0,0,0,0,0,0
"25",58,252,52,8,0,0,0,0,0,0,0,0,0,0,0
"26",2,252,52,8,0,0,0,0,0,0,0,0,0,0,0
"27",35,252,49,8,0,0,0,0,0,0,0,0,0,0,0
"28",38,252,48,8,0,0,0,0,0,0,0,0,0,0,0
"29",83,280,45,9,0,0,0,0,0,0,0,0,0,0,0
"30",54,280,54,9,0,1,5,36,11,0,0,0,0,0,0
"31",94,280,50,9,0,0,0,0,0,0,0,0,0,1,0
"32",17,280,48,9,0,0,0,0,0,0,0,0,0,0,0
"33",50,308,49,10,0,0,0,0,0,0,0,0,0,0,0
"34",92,308,55,10,0,0,5,44,5,0,0,0,0,0,0
"35",28,308,42,10,0,0,0,0,0,0,0,0,1,0,0
"36",47,308,41,10,0,0,0,0,0,0,0,0,0,0,0
"37",80,336,58,11,0,0,0,0,0,0,0,0,0,0,0
"38",49,336,51,11,0,0,0,0,1,34,14,0,0,0,0
"39",37,336,44,11,0,0,0,0,0,0,0,0,0,4,34
"40",9,336,41,11,0,0,0,0,0,0,1,12,18,5,0
"41",52,364,46,12,0,0,5,17,21,3,0,0,0,0,0
"42",7,364,53,12,0,0,0,0,0,0,0,5,44,2,0
"43",77,364,48,12,0,0,0,0,0,0,0,0,0,0,0
"44",29,364,52,12,0,0,0,0,0,0,0,0,0,0,0
